model_seed,region,region_device_time_ms,state_inference_total_device_time_ms,cost_share,primary_registered_region
0,inference_setup,43.489502999931574,45612.155769348145,0.0009534630027102772,True
0,lower_prediction_and_error,16820.54439907428,45612.155769348145,0.36877328237087764,True
0,upper_state_vjp,12423.375782172661,45612.155769348145,0.2723698446746361,True
0,component_aggregation,3507.2956312652677,45612.155769348145,0.07689387997798183,True
0,belief_update,4342.445280248299,45612.155769348145,0.09520368434693606,True
0,sweep_bookkeeping,837.7321766940877,45612.155769348145,0.018366423655359274,True
0,inference_finalize,5.73419199930504,45612.155769348145,0.00012571631185997304,True
0,unattributed_residual,7631.538804894315,45612.155769348145,0.16731370565963888,False
1,inference_setup,43.81913901865482,46017.27855682373,0.000952232300407453,True
1,lower_prediction_and_error,16886.069879028015,46017.27855682373,0.36695064133739486,True
1,upper_state_vjp,12460.651188663673,46017.27855682373,0.2707820101372755,True
1,component_aggregation,3656.6550374943763,46017.27855682373,0.079462652989768,True
1,belief_update,4428.667259289883,46017.27855682373,0.09623922574693788,True
1,sweep_bookkeeping,845.5404169838876,46017.27855682373,0.018374411601498445,True
1,inference_finalize,5.961434995755553,46017.27855682373,0.00012954775212085102,True
1,unattributed_residual,7689.9142013494875,46017.27855682373,0.16710927813459708,False
2,inference_setup,43.56655991449952,45226.85368728638,0.0009632896468043812,True
2,lower_prediction_and_error,16663.21513356734,45226.85368728638,0.36843631106382935,True
2,upper_state_vjp,12138.939653589856,45226.85368728638,0.26840115249941005,True
2,component_aggregation,3552.5476811872795,45226.85368728638,0.07854952072834394,True
2,belief_update,4372.245774674229,45226.85368728638,0.0966736665987292,True
2,sweep_bookkeeping,852.0253459634259,45226.85368728638,0.018838925914559847,True
2,inference_finalize,7.532198012340814,45226.85368728638,0.00016654260463088932,True
2,unattributed_residual,7596.781340377401,45226.85368728638,0.16797059094369227,False
3,inference_setup,43.99322196468711,45459.2059135437,0.0009677516595506604,True
3,lower_prediction_and_error,16773.565380917862,45459.2059135437,0.36898060676243577,True
3,upper_state_vjp,12305.939503485803,45459.2059135437,0.27070291388040907,True
3,component_aggregation,3574.391586846672,45459.2059135437,0.0786285531173731,True
3,belief_update,4374.056687046774,45459.2059135437,0.09621938173239421,True
3,sweep_bookkeeping,830.8538581407629,45459.2059135437,0.018276910945627098,True
3,inference_finalize,6.824445992708206,45459.2059135437,0.000150122419773175,True
3,unattributed_residual,7549.581229148433,45459.2059135437,0.16607375948243697,False
4,inference_setup,43.5023989751935,44754.487003326416,0.0009720231844453976,True
4,lower_prediction_and_error,16570.898641158827,44754.487003326416,0.37026228543133965,True
4,upper_state_vjp,12253.957704860717,44754.487003326416,0.2738040032488794,True
4,component_aggregation,3409.9622011072934,44754.487003326416,0.07619263294993964,True
4,belief_update,4221.532538336702,44754.487003326416,0.09432646469666679,True
4,sweep_bookkeeping,824.7913041007705,44754.487003326416,0.018429242726868196,True
4,inference_finalize,8.098645994905382,44754.487003326416,0.00018095718523828558,True
4,unattributed_residual,7421.743568792011,44754.487003326416,0.1658323905766227,False
5,inference_setup,43.66739299893379,45493.61219406128,0.0009598576787585603,True
5,lower_prediction_and_error,16716.930724620353,45493.61219406128,0.36745665860321763,True
5,upper_state_vjp,12327.624211992603,45493.61219406128,0.27097483838845066,True
5,component_aggregation,3547.2798509616405,45493.61219406128,0.07797314128036421,True
5,belief_update,4334.575812603347,45493.61219406128,0.09527877879016125,True
5,sweep_bookkeeping,845.5462689078413,45493.61219406128,0.01858604380107277,True
