region,n_model_seeds,all_seed_values_json,min,q1,median,mean,q3,iqr,max,bootstrap_primary_statistic,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_mean_95_ci_low,bootstrap_mean_95_ci_high,bootstrap_repeats,bootstrap_seed,primary_registered_region
inference_setup,10,"[0.0009534630027102772, 0.000952232300407453, 0.0009632896468043812, 0.0009677516595506604, 0.0009720231844453976, 0.0009598576787585603, 0.0009599992119441955, 0.0009527508648936535, 0.0009619550200823223, 0.0009536704338807427]",0.000952232300407453,0.0009535148605028936,0.0009599284453513778,0.0009596993003477643,0.0009629559901238665,9.441129620972924e-06,0.0009720231844453976,median,0.0009532106493871981,0.0009648533398164914,0.0009559467188133405,0.0009637992055980829,10000,20260715,True
lower_prediction_and_error,10,"[0.36877328237087764, 0.36695064133739486, 0.36843631106382935, 0.36898060676243577, 0.37026228543133965, 0.36745665860321763, 0.37096198860678975, 0.3649497219270443, 0.36802803090586794, 0.36508416409440014]",0.3649497219270443,0.3670771456538505,0.3682321709848486,0.36798836911031974,0.36892877566454624,0.001851630010695715,0.37096198860678975,median,0.3662704113488089,0.3695177839011087,0.36684174715137974,0.36911229277803387,10000,20260715,True
upper_state_vjp,10,"[0.2723698446746361, 0.2707820101372755, 0.26840115249941005, 0.27070291388040907, 0.2738040032488794, 0.27097483838845066, 0.2731281862255295, 0.27250548683233317, 0.27138841986303586, 0.2690198404549505]",0.26840115249941005,0.2707226879446257,0.2711816291257433,0.27130766962049097,0.2724715762929089,0.0017488883482832396,0.2738040032488794,median,0.269900925296113,0.2727490154500828,0.2702975437453796,0.2722893500513208,10000,20260715,True
component_aggregation,10,"[0.07689387997798183, 0.079462652989768, 0.07854952072834394, 0.0786285531173731, 0.07619263294993964, 0.07797314128036421, 0.07765179023549557, 0.07950510317120897, 0.07715055292716101, 0.07971507344724756]",0.07619263294993964,0.07727586225424465,0.07826133100435408,0.07817229008248838,0.07925412802166927,0.001978265767424617,0.07971507344724756,median,0.07715055292716101,0.079462652989768,0.07745109752497394,0.07885557721954939,10000,20260715,True
belief_update,10,"[0.09520368434693606, 0.09623922574693788, 0.0966736665987292, 0.09621938173239421, 0.09432646469666679, 0.09527877879016125, 0.09441071058160208, 0.09698382585337295, 0.09643900613353154, 0.09630558429301003]",0.09432646469666679,0.09522245795774237,0.09622930373966604,0.0958080328773342,0.09640565067340118,0.0011831927156588096,0.09698382585337295,median,0.09484474468588167,0.09648962544586961,0.09523123870413734,0.09632524136479821,10000,20260715,True
sweep_bookkeeping,10,"[0.018366423655359274, 0.018374411601498445, 0.018838925914559847, 0.018276910945627098, 0.018429242726868196, 0.01858604380107277, 0.018404326058542725, 0.01860364175565759, 0.018432495150503235, 0.018952587523928595]",0.018276910945627098,0.018381890215759516,0.018430868938685716,0.018526500913361776,0.018599242267011384,0.00021735205125186785,0.018952587523928595,median,0.018374411601498445,0.01871248485781631,0.018407958347709027,0.018665630418702252,10000,20260715,True
inference_finalize,10,"[0.00012571631185997304, 0.00012954775212085102, 0.00016654260463088932, 0.000150122419773175, 0.00018095718523828558, 0.00017917875972227464, 0.00015039825372836806, 0.00012317364468613515, 0.0001375956723566123, 0.0001880065513524444]",0.00012317364468613515,0.00013155973217979136,0.00015026033675077152,0.00015312391554690084,0.0001760197209494283,4.445998876963694e-05,0.0001880065513524444,median,0.00012954775212085102,0.00017917875972227464,0.00013905418647627038,0.0001676475985393986,10000,20260715,True
unattributed_residual,10,"[0.16731370565963888, 0.16710927813459708, 0.16797059094369227, 0.16607375948243697, 0.1658323905766227, 0.16859150269825263, 0.1643326008263678, 0.16637629595080328, 0.16746194432746153, 0.16978107320123004]",0.1643326008263678,0.16614939359952854,0.16721149189711798,0.16708431418011033,0.16784342928963458,0.0016940356901060383,0.16978107320123004,median,0.16607375948243697,0.16802672351285708,0.16617842707715116,0.16796140999832265,10000,20260715,False
