model_seed,observer_mode,region,duration_ms,cost_share
0,counters_only,inference_setup,43.489502999931574,0.0011450446695121757
0,counters_only,lower_prediction_and_error,16820.54439907428,0.44287180523730496
0,counters_only,upper_state_vjp,12423.375782172661,0.32709778763730285
0,counters_only,component_aggregation,3507.2956312652677,0.0923443564528653
0,counters_only,belief_update,4342.445280248299,0.11433319485864082
0,counters_only,sweep_bookkeeping,837.7321766940877,0.022056834344690177
0,counters_only,inference_finalize,5.73419199930504,0.00015097679968368303
1,counters_only,inference_setup,43.81913901865482,0.0011432859982817
1,counters_only,lower_prediction_and_error,16886.069879028015,0.44057477374168047
1,counters_only,upper_state_vjp,12460.651188663673,0.32511108964068214
1,counters_only,component_aggregation,3656.6550374943763,0.09540585685934601
1,counters_only,belief_update,4428.667259289883,0.11554844257526783
1,counters_only,sweep_bookkeeping,845.5404169838876,0.022061011269696666
1,counters_only,inference_finalize,5.961434995755553,0.0001555399150451651
2,counters_only,inference_setup,43.56655991449952,0.0011577591324529618
2,counters_only,lower_prediction_and_error,16663.21513356734,0.4428164522233798
2,counters_only,upper_state_vjp,12138.939653589856,0.322586136473027
2,counters_only,component_aggregation,3552.5476811872795,0.09440714459532774
2,counters_only,belief_update,4372.245774674229,0.11619020379144651
2,counters_only,sweep_bookkeeping,852.0253459634259,0.02264213945986244
2,counters_only,inference_finalize,7.532198012340814,0.00020016432450360483
3,counters_only,inference_setup,43.99322196468711,0.0011604763257599864
3,counters_only,lower_prediction_and_error,16773.565380917862,0.4424619214925217
3,counters_only,upper_state_vjp,12305.939503485803,0.32461253852906896
3,counters_only,component_aggregation,3574.391586846672,0.09428717948553045
3,counters_only,belief_update,4374.056687046774,0.11538116569239647
3,counters_only,sweep_bookkeeping,830.8538581407629,0.021916699652338344
3,counters_only,inference_finalize,6.824445992708206,0.00018001882238410425
4,counters_only,inference_setup,43.5023989751935,0.0011652612418232274
4,counters_only,lower_prediction_and_error,16570.898641158827,0.4438703699934901
4,counters_only,upper_state_vjp,12253.957704860717,0.32823619636603707
4,counters_only,component_aggregation,3409.9622011072934,0.09133971649008067
4,counters_only,belief_update,4221.532538336702,0.11307855115816645
4,counters_only,sweep_bookkeeping,824.7913041007705,0.022092973304978246
4,counters_only,inference_finalize,8.098645994905382,0.00021693144542422733
5,counters_only,inference_setup,43.66739299893379,0.0011544958728154473
5,counters_only,lower_prediction_and_error,16716.930724620353,0.44196885140789544
5,counters_only,upper_state_vjp,12327.624211992603,0.32592262319650595
5,counters_only,component_aggregation,3547.2798509616405,0.09378439303112514
5,counters_only,belief_update,4334.575812603347,0.11459923623511059
5,counters_only,sweep_bookkeeping,845.5462689078413,0.02235488795386613
5,counters_only,inference_finalize,8.15148900821805,0.00021551230268127076
6,counters_only,inference_setup,43.370803993195295,0.001148781456466426
6,counters_only,lower_prediction_and_error,16759.305108394474,0.4439110452000683
6,counters_only,upper_state_vjp,12339.37370199943,0.32683838868863163
6,counters_only,component_aggregation,3508.1493110852316,0.09292188532457198
6,counters_only,belief_update,4265.283109139651,0.11297641941633976
6,counters_only,sweep_bookkeeping,831.4698680797592,0.022023506094341172
6,counters_only,inference_finalize,6.794685977045447,0.0001799738195807239
7,counters_only,inference_setup,44.37497103959322,0.0011429027992676014
7,counters_only,lower_prediction_and_error,16997.762939032167,0.43778712164056527
7,counters_only,upper_state_vjp,12692.114520058502,0.32689268012495376
7,counters_only,component_aggregation,3703.0002078413963,0.09537289161167728
7,counters_only,belief_update,4517.082715041935,0.11634005293070385
7,counters_only,sweep_bookkeeping,866.4763208904769,0.022316594004337102
7,counters_only,inference_finalize,5.736890006810427,0.00014775688849517885
8,counters_only,inference_setup,44.18691301718354,0.0011554487071527783
8,counters_only,lower_prediction_and_error,16905.17981613241,0.44205550532890486
8,counters_only,upper_state_vjp,12466.088592512999,0.3259771946926842
8,counters_only,component_aggregation,3543.8712832210585,0.09266910071136325
8,counters_only,belief_update,4429.876539467834,0.11583735479290069
8,counters_only,sweep_bookkeeping,846.6872596966568,0.02214012323510323
8,counters_only,inference_finalize,6.32038700254634,0.00016527253189100186
9,counters_only,inference_setup,44.571613024920225,0.0011486975339841839
9,counters_only,lower_prediction_and_error,17062.907169435173,0.43974444849399336
9,counters_only,upper_state_vjp,12573.157139820978,0.32403481993871236
9,counters_only,component_aggregation,3725.6365298917517,0.0960169310456699
9,counters_only,belief_update,4501.02580802422,0.11600022739104907
9,counters_only,sweep_bookkeeping,885.7854526326992,0.022828421410491836
9,counters_only,inference_finalize,8.786846016533673,0.0002264541860992935
