pair_id,component,passed,finite,presence_match,reference_l2,candidate_l2,difference_l2,relative_l2,cosine,max_abs,zero_case
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/beliefs/layer_0,True,True,True,198.61801164763378,198.61801164763378,0.0,0.0,0.999999999999978,0.0,both_active
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/beliefs/layer_1,True,True,True,243.3565246065024,243.3565246065024,0.0,0.0,0.9999999999999761,0.0,both_active
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/beliefs/layer_2,True,True,True,188.52125582497882,188.52125582497882,0.0,0.0,0.9999999999999695,0.0,both_active
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/beliefs/layer_3,True,True,True,188.52125582497882,188.52125582497882,0.0,0.0,0.9999999999999695,0.0,both_active
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/beliefs/layer_4,True,True,True,147.86305412913015,147.86305412913015,0.0,0.0,0.9999999999999862,0.0,both_active
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/beliefs/layer_5,True,True,True,122.53959578567061,122.53959578567061,0.0,0.0,0.9999999999999903,0.0,both_active
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/beliefs/layer_6,True,True,True,191.68671199053244,191.68671199053244,0.0,0.0,1.0000000000000009,0.0,both_active
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/prediction_errors/layer_0,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/prediction_errors/layer_1,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/prediction_errors/layer_2,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/prediction_errors/layer_3,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/prediction_errors/layer_4,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/prediction_errors/layer_5,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/prediction_errors/layer_6,True,True,True,0.023044642231535472,0.023044642231535472,0.0,0.0,1.0000000000000002,0.0,both_active
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/state_corrections/layer_0,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/state_corrections/layer_1,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/state_corrections/layer_2,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/state_corrections/layer_3,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/state_corrections/layer_4,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__fixedpred__seed-0__batch-0,trajectory/after_sweep/sweep_0/state_corrections/layer_5,True,True,True,0.0034745568608107597,0.0034745568608107597,0.0,0.0,1.0000000000000002,0.0,both_active
