model_seed,order,batch_count,median_d,mean_d
8,ABC,3,-0.19863785546905516,-0.19960459290876728
8,BCA,3,-0.17560649449400798,-0.17087834243595976
8,CAB,3,-0.208661744922105,-0.19648740888473326
8,ACB,3,-0.17493539769946367,-0.18680668480224608
8,CBA,3,-0.19320210719297115,-0.18428799597937176
8,BAC,3,-0.20306654766668605,-0.19428679742687335
