record_key,control_id,sub_gate,case_id,lane,device,dtype,model_seed,construction_seed,layer_index,sweep_index,contract_id,implementation_schema_id,source_git_commit,source_git_branch,experiment_image,image_revision,torch2pc_commit,absolute_l2,relative_l2,max_abs,cosine,norm_ratio,reference_norm,candidate_norm,finite,zero_safe_path,comparison_passed,operator_rank,expected_rank,source_norm,expected_class,observed_class,passed,contract_digest,construction_registry_digest,threshold_registry_digest,torch_version,torch_hip_version,device_name,cpu_thread_count,visible_rocm_devices,deterministic_algorithms_enabled,dataset_loader_used,test_split_access
PNZ-L0:PNZ-01-linear-parameter-null:cpu:c-0:m-none:l-none:s-none,MECH-C0,PNZ-L0,PNZ-01-linear-parameter-null,cpu,cpu,torch.float64,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,,0.0,,,0.0,0.0,True,True,True,2,2,0.25,PNZ,PNZ,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False
PNZ-L0:PNZ-01-linear-parameter-null:cpu:c-1:m-none:l-none:s-none,MECH-C0,PNZ-L0,PNZ-01-linear-parameter-null,cpu,cpu,torch.float64,,1,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,,0.0,,,0.0,0.0,True,True,True,2,2,1.0,PNZ,PNZ,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False
PNZ-L0:PNZ-01-linear-parameter-null:cpu:c-2:m-none:l-none:s-none,MECH-C0,PNZ-L0,PNZ-01-linear-parameter-null,cpu,cpu,torch.float64,,2,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,,0.0,,,0.0,0.0,True,True,True,2,2,4.0,PNZ,PNZ,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False
