source_file,dataset,model,model_seed,reference_label,candidate_label,layer,cka,rsa_spearman,rsa_defined,samples,reference_features,candidate_features
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,2,bp,exact,5,1.0,0.9999999999999998,True,1000,10,10
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,2,bp,fixedpred,0,0.981630983370452,0.9834550238424112,True,1000,1176,1176
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,2,bp,fixedpred,1,0.9852804918742164,0.9813728788053157,True,1000,400,400
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,2,bp,fixedpred,3,0.9833730029146456,0.9738932379201436,True,1000,120,120
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,2,bp,fixedpred,4,0.9901462268003454,0.9896862641919424,True,1000,84,84
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,2,bp,fixedpred,5,0.990895750161806,0.9922196565727502,True,1000,10,10
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,2,bp,strict,0,0.9527504074870708,0.9236443165742426,True,1000,1176,1176
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,2,bp,strict,1,0.9669723025700472,0.9529813562304492,True,1000,400,400
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,2,bp,strict,3,0.9544833906272512,0.9337417477149288,True,1000,120,120
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,2,bp,strict,4,0.9750370920946186,0.9716165645737146,True,1000,84,84
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,2,bp,strict,5,0.9744171997052592,0.9787389562288292,True,1000,10,10
results/stage3/layerwise/confirmatory/raw/seed-3/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,3,bp,exact,0,1.0,0.9999999999999998,True,1000,1176,1176
results/stage3/layerwise/confirmatory/raw/seed-3/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,3,bp,exact,1,1.0,0.9999999999999998,True,1000,400,400
results/stage3/layerwise/confirmatory/raw/seed-3/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,3,bp,exact,3,1.0,0.9999999999999998,True,1000,120,120
results/stage3/layerwise/confirmatory/raw/seed-3/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,3,bp,exact,4,1.0,0.9999999999999998,True,1000,84,84
results/stage3/layerwise/confirmatory/raw/seed-3/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,3,bp,exact,5,1.0,0.9999999999999998,True,1000,10,10
results/stage3/layerwise/confirmatory/raw/seed-3/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,3,bp,fixedpred,0,0.9977754299057866,0.9866400634288196,True,1000,1176,1176
results/stage3/layerwise/confirmatory/raw/seed-3/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,3,bp,fixedpred,1,0.9921925441831784,0.9885017072821224,True,1000,400,400
results/stage3/layerwise/confirmatory/raw/seed-3/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,3,bp,fixedpred,3,0.989493342770547,0.9822145166464596,True,1000,120,120
results/stage3/layerwise/confirmatory/raw/seed-3/final/representations/representation_metrics.csv,FashionMNIST,lenet_classic,3,bp,fixedpred,4,0.9945312236558058,0.9926961546564586,True,1000,84,84
