source_file,dataset,model,model_seed,checkpoint_label,method,scope,unit,cosine,relative_l2,norm_ratio,reference_norm,candidate_norm,max_abs_difference,sign_agreement
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,fixedpred,top_level,0,0.9905468161029553,0.9991289933272992,0.0008798186580919,0.1662155547259374,0.0001431690369319,0.0466248242835718,0.9435897435897436
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,fixedpred,top_level,1,0.9999395539137896,0.9916708685738688,0.0083296391675457,0.2621269872617428,0.0021830169554574,0.0249435080797411,0.996109271523179
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,fixedpred,top_level,3,0.999999896746784,0.7748398320611323,0.2251601979426937,0.3495933486315258,0.0787147984942761,0.0078035466372966,0.999804655029094
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,fixedpred,top_level,4,0.9999999502397716,0.3874195081912979,0.6125805704887686,0.2298903024015514,0.1408262978136587,0.0053839023225009,0.9998032270759544
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,fixedpred,top_level,5,1.0,0.0,1.0,0.2109087011982862,0.2109087011982862,0.0,1.0
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,strict,parameter,0.0.bias,0.8296699402569894,0.9993092857223178,0.0008527983752857,0.0675793875521184,4.005246192550747e-05,0.044041128129902,0.9333333333333332
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,strict,parameter,0.0.weight,0.8352465219330686,0.999500078498319,0.0006188834030609,0.1471778883530185,7.914386098532466e-05,0.0263811398381221,0.7813333333333333
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,strict,parameter,1.0.bias,0.8257326549850565,0.9970440012207176,0.0035410281472417,0.0428245253656945,0.0001517703385536,0.0238728851625637,0.75
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,strict,parameter,1.0.weight,0.8644410399383359,0.996774247624712,0.0036897767433987,0.258464968377564,0.000970558869198,0.020299250750395,0.8345833333333333
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,strict,parameter,3.0.bias,0.8346001293001286,0.9448269236960944,0.0670010138504237,0.0309989024274657,0.0020702058726696,0.0087413040964747,0.8366666666666667
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,strict,parameter,3.0.weight,0.8347119134436211,0.945589198998897,0.0659980342372431,0.3481955197600855,0.0230030011770306,0.009492359770229,0.8186666666666668
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,strict,parameter,4.0.bias,0.9163948090125708,0.7123972573459907,0.3286917775011613,0.0266340708293629,0.0085697255778432,0.0074396716197952,0.8404761904761905
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,strict,parameter,4.0.weight,0.9223841084023744,0.7160916197239879,0.318938608373192,0.2282965174014358,0.0729813607577288,0.0097610631026327,0.8586309523809523
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,strict,parameter,5.bias,0.9999996493664194,0.0017310007444871,0.998499477528808,0.0293097141323341,0.0292641965327319,3.461651504039764e-05,1.0
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,strict,parameter,5.weight,0.9999983989626764,0.00239937009001,0.9983631475966476,0.2088407666359465,0.2085044087310751,7.15760514140129e-05,1.0
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,strict,top_level,0,0.846793699861672,0.999494282291525,0.0006054344144985,0.1662155547259374,8.987716830620499e-05,0.0466413402813486,0.7871794871794873
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_summary.csv,FashionMNIST,lenet_classic,0,final,strict,top_level,1,0.8632968179042321,0.9967844125567557,0.0036827397537613,0.2621269872617428,0.0009824629401373,0.0250669905282848,0.834023178807947
