source_file,dataset,model,model_seed,reference_label,candidate_label,reference_layer,candidate_layer,cka
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,fixedpred,4,0,0.8018721001745808
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,fixedpred,4,1,0.7870010182560642
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,fixedpred,4,3,0.9279403705264918
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,fixedpred,4,4,0.9944480316126204
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,fixedpred,4,5,0.9656841358035532
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,fixedpred,5,0,0.7226553137104925
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,fixedpred,5,1,0.6817250076928225
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,fixedpred,5,3,0.8430845572957295
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,fixedpred,5,4,0.9643661766461992
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,fixedpred,5,5,0.994612992681779
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,0,0,0.986079900118532
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,0,1,0.900831376597258
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,0,3,0.9123757581998732
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,strict,0,4,0.8215978456389258
