model_seed,batch_index,arm,component,zero_relation,cosine,relative_l2,max_abs,reference_norm,candidate_norm,finite,passed,comparison_kind
0,1,fixedpred,gradient:1.0.bias,nonzero,0.9999999999999997,0.0,0.0,0.009740513193970839,0.009740513193970839,True,True,endpoint_gradient
0,1,fixedpred,gradient:1.0.weight,nonzero,0.9999999999999997,0.0,0.0,0.04299982723262131,0.04299982723262131,True,True,endpoint_gradient
0,1,fixedpred,gradient:3.0.bias,nonzero,1.0,0.0,0.0,0.02683900790520312,0.02683900790520312,True,True,endpoint_gradient
0,1,fixedpred,gradient:3.0.weight,nonzero,0.9999999999999843,0.0,0.0,0.09175104198181372,0.09175104198181372,True,True,endpoint_gradient
0,1,fixedpred,gradient:4.0.bias,nonzero,1.0,0.0,0.0,0.047488034447085485,0.047488034447085485,True,True,endpoint_gradient
0,1,fixedpred,gradient:4.0.weight,nonzero,0.9999999999999982,0.0,0.0,0.05256478187231607,0.05256478187231607,True,True,endpoint_gradient
0,1,fixedpred,gradient:5.bias,nonzero,1.0,0.0,0.0,0.08411243345944432,0.08411243345944432,True,True,endpoint_gradient
0,1,fixedpred,gradient:5.weight,nonzero,1.0,0.0,0.0,0.056579772819487104,0.056579772819487104,True,True,endpoint_gradient
0,1,fixedpred,parameter:0.0.bias,nonzero,1.0,0.0,0.0,0.35510417465647404,0.35510417465647404,True,True,parameter_after_optimizer_step
0,1,fixedpred,parameter:0.0.weight,nonzero,1.0,0.0,0.0,1.4162497511185532,1.4162497511185532,True,True,parameter_after_optimizer_step
0,1,fixedpred,parameter:1.0.bias,nonzero,1.0000000000000002,0.0,0.0,0.15984488777807995,0.15984488777807995,True,True,parameter_after_optimizer_step
0,1,fixedpred,parameter:1.0.weight,nonzero,1.0000000000000002,0.0,0.0,2.3117923261973683,2.3117923261973683,True,True,parameter_after_optimizer_step
0,1,fixedpred,parameter:3.0.bias,nonzero,1.0000000000000002,0.0,0.0,0.29565591849599315,0.29565591849599315,True,True,parameter_after_optimizer_step
0,1,fixedpred,parameter:3.0.weight,nonzero,0.9999999999999809,0.0,0.0,6.310398829911393,6.310398829911393,True,True,parameter_after_optimizer_step
0,1,fixedpred,parameter:4.0.bias,nonzero,0.9999999999999999,0.0,0.0,0.4806950398102672,0.4806950398102672,True,True,parameter_after_optimizer_step
0,1,fixedpred,parameter:4.0.weight,nonzero,0.9999999999999968,0.0,0.0,5.247117856529002,5.247117856529002,True,True,parameter_after_optimizer_step
0,1,fixedpred,parameter:5.bias,nonzero,1.0,0.0,0.0,0.17862992218062565,0.17862992218062565,True,True,parameter_after_optimizer_step
