cell_id,block_id,candidate_id,method,depth,width,batch_size,model_seed,repetition,primary_host_time_median_us,primary_device_time_median_us,primary_peak_allocated_max_bytes,primary_peak_reserved_max_bytes,observer_cost_median_ms,saved_tensor_bytes_median,state_vjp_calls_median,graph_span_max,dependency_radius_max,graph_lifetimes,feedback_operator,fallback_validation_cost_ms,fallback_validation_status
s3b-cell-8a04056f1cbd0d0d9ec6,s3b-block-d21540cc9c7bae2324da,isolated_layer_vjp,fixedpred,4,64,64,71,4,15153.7595,15154.724597930908,400636928,404750336,22.888322830200195,5989380.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-c1d4d3a7dc1f33be202c,s3b-block-d21540cc9c7bae2324da,stage2_baseline,fixedpred,4,64,64,71,0,9418.628499999999,9418.629169464111,199276032,203423744,22.04140329360962,1174020.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-c1d4d3a7dc1f33be202c,s3b-block-d21540cc9c7bae2324da,stage2_baseline,fixedpred,4,64,64,71,1,9584.625,9585.426807403564,249667072,253755392,21.939939498901367,1174020.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-c1d4d3a7dc1f33be202c,s3b-block-d21540cc9c7bae2324da,stage2_baseline,fixedpred,4,64,64,71,2,9617.4565,9618.70813369751,300058112,304087040,22.01310110092163,1174020.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-c1d4d3a7dc1f33be202c,s3b-block-d21540cc9c7bae2324da,stage2_baseline,fixedpred,4,64,64,71,3,9648.7615,9649.084091186523,350449152,354418688,22.60525894165039,1174020.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-c1d4d3a7dc1f33be202c,s3b-block-d21540cc9c7bae2324da,stage2_baseline,fixedpred,4,64,64,71,4,9725.814,9727.351188659668,400840192,404750336,22.33801555633545,1174020.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-05e849b25302f6d24e21,s3b-block-d21540cc9c7bae2324da,composite_vjp,fixedpred,4,64,64,71,0,11693.3775,11694.387435913086,199591424,203423744,8.080169677734375,5989380.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-05e849b25302f6d24e21,s3b-block-d21540cc9c7bae2324da,composite_vjp,fixedpred,4,64,64,71,1,11649.7855,11650.467872619629,249982464,253755392,8.461260318756104,5989380.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-05e849b25302f6d24e21,s3b-block-d21540cc9c7bae2324da,composite_vjp,fixedpred,4,64,64,71,2,11579.873,11579.761981964111,300887552,304087040,8.42192029953003,5989380.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-05e849b25302f6d24e21,s3b-block-d21540cc9c7bae2324da,composite_vjp,fixedpred,4,64,64,71,3,11649.445,11650.398254394531,351278592,354418688,8.530221939086914,5989380.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-05e849b25302f6d24e21,s3b-block-d21540cc9c7bae2324da,composite_vjp,fixedpred,4,64,64,71,4,11591.25,11592.81873703003,401669632,404750336,8.650570392608643,5989380.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-9ea73590fd2f5bc019f6,s3b-block-550d367ca244ec32ef93,stage2_baseline,fixedpred,4,64,64,72,0,9605.924,9607.16199874878,199276032,203423744,21.458428382873535,1174020.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-9ea73590fd2f5bc019f6,s3b-block-550d367ca244ec32ef93,stage2_baseline,fixedpred,4,64,64,72,1,9721.3635,9722.518920898438,249667072,253755392,22.34325885772705,1174020.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-9ea73590fd2f5bc019f6,s3b-block-550d367ca244ec32ef93,stage2_baseline,fixedpred,4,64,64,72,2,9447.4945,9446.15125656128,300058112,304087040,21.34577512741089,1174020.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-9ea73590fd2f5bc019f6,s3b-block-550d367ca244ec32ef93,stage2_baseline,fixedpred,4,64,64,72,3,9595.1555,9596.124172210693,350449152,354418688,21.651191234588623,1174020.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-9ea73590fd2f5bc019f6,s3b-block-550d367ca244ec32ef93,stage2_baseline,fixedpred,4,64,64,72,4,9691.685000000001,9692.565441131592,400840192,404750336,21.719571590423584,1174020.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-7516efa03b108db7e662,s3b-block-550d367ca244ec32ef93,isolated_layer_vjp,fixedpred,4,64,64,72,0,14973.516,14974.234580993652,199072768,203423744,22.698652267456055,5989380.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-7516efa03b108db7e662,s3b-block-550d367ca244ec32ef93,isolated_layer_vjp,fixedpred,4,64,64,72,1,15326.608,15327.539920806885,249463808,253755392,22.774070739746094,5989380.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
