method,eta,inference_steps,completed,mean_validation,std_validation,mean_time_sec,success_rate
fixedpred,0.1,10,3,0.7334423252363167,0.008528373505789442,12.801457202000165,1.0
fixedpred,1.0,6,3,0.7299395070486575,0.009107096871570061,11.667080775664848,1.0
fixedpred,0.5,10,3,0.7299395070486575,0.009107096871570061,12.684785200667344,1.0
fixedpred,0.3,10,3,0.7297440467801977,0.009267628273879886,12.757851612668068,1.0
fixedpred,0.3,5,3,0.724267553222777,0.007394687486566494,11.451133116336374,1.0
fixedpred,0.5,5,3,0.7242487734039162,0.007364233304769312,11.436101989667804,1.0
fixedpred,0.1,5,3,0.7239593250342361,0.008245195761208626,11.443533452000944,1.0
fixedpred,0.1,1,3,0.4878790649874782,0.04911275375584533,10.45238742266641,1.0
fixedpred,0.3,1,3,0.4878790649874782,0.04911275375584533,10.521883313333092,1.0
strict,0.05,20,3,0.7326999950958849,0.009821849262309602,15.936472661667116,1.0
strict,0.1,10,3,0.7317501519821138,0.009304409708511976,12.973497587998281,1.0
strict,0.1,20,3,0.7303486024162024,0.01080109583194913,15.964486903669846,1.0
strict,0.05,10,3,0.7245506190347545,0.005331829117436759,12.960423928333816,1.0
strict,0.01,20,3,0.7176034655721288,0.013879131406197722,15.985473595334042,1.0
strict,0.01,5,3,0.7067039734954759,0.011377433413081846,11.447348444334542,1.0
