run_id,experiment_id,status,stage,dataset,model,method,eta,inference_steps,model_seed,split_seed,config_sha256,git_commit,torch2pc_commit,run_directory,started_utc,finished_utc,test_evaluated,notes,best_epoch,epochs_completed,model_parameter_count,best_validation_metric,primary_metric,total_training_time_sec,split_files,split_sha256,environment_lock_sha256,mean_epoch_time_sec,median_epoch_time_sec,runtime_device,runtime_device_name,torch_version,hip_version,test_loss,test_accuracy,test_macro_f1,peak_gpu_memory_allocated_bytes,peak_gpu_memory_reserved_bytes
20260713T000412Z-a0acaba6,pilot-fashionmnist-fixedpred-s40-02997de2d5-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.1,10,40,42,02997de2d59382191dc92ea26b5c347ff3454f5ca6bf00d255601993f45933a7,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s40-02997de2d5-6313c899-91107ec7/20260713T000412Z-a0acaba6,2026-07-13T00:04:12Z,2026-07-13T00:04:26Z,False,,3,3,61706,0.742881576789594,macro_f1,12.73371676899842,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000431Z-a38e22fa,pilot-fashionmnist-fixedpred-s41-79e5749216-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.1,10,41,42,79e57492160cd106af89261f7b54df457aed98463f95026669c08218073c0cd8,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s41-79e5749216-6313c899-91107ec7/20260713T000431Z-a38e22fa,2026-07-13T00:04:31Z,2026-07-13T00:04:45Z,False,,3,3,61706,0.7311534508331664,macro_f1,12.809219063001365,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000449Z-ec6409cd,pilot-fashionmnist-fixedpred-s42-9f4bee4e88-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.1,10,42,42,9f4bee4e88e65e8ec021bf6ad145060dad59caafdc5776f0c2edee0d3fc57278,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s42-9f4bee4e88-6313c899-91107ec7/20260713T000449Z-ec6409cd,2026-07-13T00:04:49Z,2026-07-13T00:05:04Z,False,,3,3,61706,0.7262919480861896,macro_f1,12.86143577400071,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000508Z-ce7be2fb,pilot-fashionmnist-fixedpred-s40-a1190f9ab9-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.3,1,40,42,a1190f9ab9c008f2fc1001319db4c3ce966e60f71aed2a007121bb87922af592,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s40-a1190f9ab9-6313c899-91107ec7/20260713T000508Z-ce7be2fb,2026-07-13T00:05:08Z,2026-07-13T00:05:20Z,False,,3,3,61706,0.4972053591651959,macro_f1,10.463318136000453,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000524Z-750550a1,pilot-fashionmnist-fixedpred-s41-ce77eaeb58-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.3,1,41,42,ce77eaeb58b1664ca85c57c68af8f4cf05aafa3db1935c163991ab26b6d0eb61,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s41-ce77eaeb58-6313c899-91107ec7/20260713T000524Z-750550a1,2026-07-13T00:05:24Z,2026-07-13T00:05:36Z,False,,3,3,61706,0.5316599862575557,macro_f1,10.52429814000061,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000540Z-3defe214,pilot-fashionmnist-fixedpred-s42-4343aafe45-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.3,1,42,42,4343aafe45df410897e3dbc322f077913cdc86e27c7cc994e4201959dbbf782e,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s42-4343aafe45-6313c899-91107ec7/20260713T000540Z-3defe214,2026-07-13T00:05:40Z,2026-07-13T00:05:52Z,False,,3,3,61706,0.43477184953968295,macro_f1,10.578033663998212,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000557Z-eb5bfa39,pilot-fashionmnist-fixedpred-s40-3be7ceade1-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.3,5,40,42,3be7ceade194f2c5d3d742d08af8e2b073ab100007e70292ce68ef84c941f9a5,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s40-3be7ceade1-6313c899-91107ec7/20260713T000557Z-eb5bfa39,2026-07-13T00:05:57Z,2026-07-13T00:06:10Z,False,,3,3,61706,0.7322642384773068,macro_f1,11.443718817001354,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000614Z-afaa8c99,pilot-fashionmnist-fixedpred-s41-b84cb8e55f-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.3,5,41,42,b84cb8e55fe20ca81e99f145dc70d7cdf76734434c953db438fbce2d4ea1eaa8,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s41-b84cb8e55f-6313c899-91107ec7/20260713T000614Z-afaa8c99,2026-07-13T00:06:14Z,2026-07-13T00:06:27Z,False,,2,3,61706,0.7176766883238678,macro_f1,11.395032394004375,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000631Z-7614067d,pilot-fashionmnist-fixedpred-s42-8160545b87-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.3,5,42,42,8160545b8763336bb2f5a1808c0e9d0a91978736a58ad1eeb87ebf990a9d62d9,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s42-8160545b87-6313c899-91107ec7/20260713T000631Z-7614067d,2026-07-13T00:06:31Z,2026-07-13T00:06:44Z,False,,3,3,61706,0.7228617328671565,macro_f1,11.514648138003395,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000648Z-9963a5c5,pilot-fashionmnist-fixedpred-s40-fdf235ba0b-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.3,10,40,42,fdf235ba0bf9b430a4720b5b907a53b89e23d56bf167bb945a7262907418f4ee,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s40-fdf235ba0b-6313c899-91107ec7/20260713T000648Z-9963a5c5,2026-07-13T00:06:48Z,2026-07-13T00:07:02Z,False,,3,3,61706,0.7404444189135349,macro_f1,12.707856014003482,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000706Z-3e3e663e,pilot-fashionmnist-fixedpred-s41-81bdfd153c-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.3,10,41,42,81bdfd153c7bf888a085adea4a75ce7399507abbfd2e0de91db3b873e7eee64e,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s41-81bdfd153c-6313c899-91107ec7/20260713T000706Z-3e3e663e,2026-07-13T00:07:06Z,2026-07-13T00:07:21Z,False,,3,3,61706,0.7242695185288305,macro_f1,12.816470697001932,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000725Z-31b9e2ef,pilot-fashionmnist-fixedpred-s42-253344199a-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.3,10,42,42,253344199a981ef3813f54bb8146d277d6002d2de1b37671185b7a67245cedcb,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s42-253344199a-6313c899-91107ec7/20260713T000725Z-31b9e2ef,2026-07-13T00:07:25Z,2026-07-13T00:07:39Z,False,,3,3,61706,0.7245182028982279,macro_f1,12.749228126998787,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000743Z-014fb8da,pilot-fashionmnist-fixedpred-s40-e4ed6bd47b-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.5,5,40,42,e4ed6bd47b769b46418ea1538f9aaca90e8dfe1252bffd79894c21e5a0fcecb1,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s40-e4ed6bd47b-6313c899-91107ec7/20260713T000743Z-014fb8da,2026-07-13T00:07:43Z,2026-07-13T00:07:56Z,False,,3,3,61706,0.7322078990207247,macro_f1,11.382136420004827,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
