cell_id,method,depth,width,batch_size,model_seed,region,record_count,host_time_mean_us,host_time_median_us,host_time_p95_us,device_time_mean_us,device_time_median_us,device_time_p95_us,peak_allocated_max_bytes,peak_reserved_max_bytes,vjp_calls_total,synchronization_points_total,saved_tensor_bytes_mean,saved_tensor_bytes_max,actual_inference_steps_total,actual_inference_steps_max,non_finite_events_total
s3b-cell-d10b0791f9f5ba231ea9,strict,4,64,64,72,optimizer_step,250,196.826156,192.4125,214.66,172.2782565355301,168.00399869680405,188.46499919891357,535537664,538968064,0,500,0.0,0,0,0,0
s3b-cell-d10b0791f9f5ba231ea9,strict,4,64,64,72,parameter_vjp,250,1413.432748,1394.4045,1507.621,1353.5362920761108,1345.8645343780518,1460.677981376648,535567360,538968064,1000,500,299008.0,299008,0,0,0
s3b-cell-d10b0791f9f5ba231ea9,strict,4,64,64,72,state_inference,250,58910.724808,58510.4345,60612.236,58831.41149902344,58426.46026611328,60585.201263427734,535415296,538968064,20000,500,2457680.0,2457680,5000,20,0
s3b-cell-cdafef86dad427d26b64,fixedpred,4,64,256,70,initial_forward,250,783.4512480000001,775.0360000000001,795.821,738.062436580658,730.2190065383911,749.6089935302734,670802944,698351616,250,500,1253892.0,1253892,0,0,0
s3b-cell-cdafef86dad427d26b64,fixedpred,4,64,256,70,local_state_vjp,250,9551.973704,9495.0905,10184.474,8616.971948631108,8560.372494161129,9257.762014865875,674645504,700448768,10000,20000,0.0,0,0,0,0
s3b-cell-cdafef86dad427d26b64,fixedpred,4,64,256,70,optimizer_step,250,191.39551999999998,188.656,203.058,167.94557183980942,165.53950309753418,179.6640008687973,667939840,700448768,0,500,0.0,0,0,0,0
s3b-cell-cdafef86dad427d26b64,fixedpred,4,64,256,70,parameter_vjp,250,1375.1276200000002,1369.471,1405.325,1326.064190864563,1324.465036392212,1350.9949445724487,668116480,700448768,1000,500,1196032.0,1196032,0,0,0
s3b-cell-cdafef86dad427d26b64,fixedpred,4,64,256,70,state_inference,250,26546.160576000002,26483.8495,27206.61,26500.706787109375,26460.41965484619,27183.03680419922,671119872,700448768,10000,500,1432064.0,1432064,2500,10,0
s3b-cell-ecc35ca43289347e025b,strict,4,64,256,70,initial_forward,250,792.141588,790.4605,810.439,747.8744430541992,746.1789846420288,768.9399719238281,1199469568,1228931072,250,500,1253892.0,1253892,0,0,0
s3b-cell-ecc35ca43289347e025b,strict,4,64,256,70,local_state_vjp,250,14042.569792,14002.4515,14394.375,12612.608361899853,12576.876513659954,12918.398007750511,1201187328,1231028224,15000,30000,0.0,0,0,0,0
s3b-cell-ecc35ca43289347e025b,strict,4,64,256,70,optimizer_step,250,190.79746,188.325,202.246,167.40116798877716,165.38450121879578,178.52400243282318,1198920704,1231028224,0,500,0.0,0,0,0,0
s3b-cell-ecc35ca43289347e025b,strict,4,64,256,70,parameter_vjp,250,1392.473872,1382.741,1458.677,1342.5636067390442,1338.8050198554993,1399.1949558258057,1199097344,1231028224,1000,500,1196032.0,1196032,0,0,0
s3b-cell-ecc35ca43289347e025b,strict,4,64,256,70,state_inference,250,57572.67654,57133.292,58512.563,57503.00212097168,57057.40737915039,58483.768463134766,1199142400,1231028224,20000,500,7710800.0,7710800,5000,20,0
s3b-cell-5b5993ca3e6856de5edd,fixedpred,4,64,256,71,initial_forward,250,797.80536,787.294,840.756,753.7206876277924,743.6539828777313,798.2310056686401,670802944,698351616,250,500,1253892.0,1253892,0,0,0
s3b-cell-5b5993ca3e6856de5edd,fixedpred,4,64,256,71,local_state_vjp,250,9623.678087999999,9671.131000000001,10110.543,8691.795114442706,8721.269443631172,9188.949957489967,674645504,700448768,10000,20000,0.0,0,0,0,0
s3b-cell-5b5993ca3e6856de5edd,fixedpred,4,64,256,71,optimizer_step,250,190.693352,187.859,202.187,167.61790013313293,165.0094985961914,178.96400392055511,667939840,700448768,0,500,0.0,0,0,0,0
s3b-cell-5b5993ca3e6856de5edd,fixedpred,4,64,256,71,parameter_vjp,250,1390.5117679999998,1384.299,1431.063,1341.1483783721924,1340.6635522842407,1387.7849578857422,668116480,700448768,1000,500,1196032.0,1196032,0,0,0
s3b-cell-5b5993ca3e6856de5edd,fixedpred,4,64,256,71,state_inference,250,26402.786488,26375.84,27180.437,26355.951545715332,26347.198486328125,27154.996871948242,671119872,700448768,10000,500,1432064.0,1432064,2500,10,0
s3b-cell-2c37ed8014ece51ee602,strict,4,64,256,71,initial_forward,250,789.376876,788.446,809.296,746.1728918552399,744.8235154151917,764.119029045105,1199469568,1228931072,250,500,1253892.0,1253892,0,0,0
s3b-cell-2c37ed8014ece51ee602,strict,4,64,256,71,local_state_vjp,250,13935.579796,13902.226999999999,14201.08,12503.558526396751,12466.608464717865,12732.991948723793,1201187328,1231028224,15000,30000,0.0,0,0,0,0
s3b-cell-2c37ed8014ece51ee602,strict,4,64,256,71,optimizer_step,250,190.9891,187.899,204.41,167.89729970693588,165.02899676561356,181.35499954223633,1198920704,1231028224,0,500,0.0,0,0,0,0
