run_id,experiment_id,status,stage,dataset,model,method,eta,inference_steps,model_seed,split_seed,config_sha256,git_commit,torch2pc_commit,run_directory,started_utc,finished_utc,test_evaluated,notes
20260712T231706Z-1b821d2c,smoke-mnist-bp-s0-ce1c573b7c-c08d1503-unlocked,running,smoke,MNIST,lenet_classic,bp,,,0,42,ce1c573b7c6acc24a8c51e901519ce74eb1b38971b188abeabd03de771e328c7,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/smoke-mnist-bp-s0-ce1c573b7c-c08d1503-unlocked/20260712T231706Z-1b821d2c,2026-07-12T23:17:06Z,,false,
20260712T231706Z-1b821d2c,smoke-mnist-bp-s0-ce1c573b7c-c08d1503-unlocked,completed,smoke,MNIST,lenet_classic,bp,,,0,42,ce1c573b7c6acc24a8c51e901519ce74eb1b38971b188abeabd03de771e328c7,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/smoke-mnist-bp-s0-ce1c573b7c-c08d1503-unlocked/20260712T231706Z-1b821d2c,2026-07-12T23:17:06Z,2026-07-12T23:17:14Z,false,
20260712T233827Z-1ccdaedc,pilot-fashionmnist-bp-s40-5051a3723e-c08d1503-ca66dfdc,running,pilot,FashionMNIST,lenet_classic,bp,,,40,42,5051a3723ebc026e27b660c9e412d1000cae1529ae7b6df916f884f35322adea,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-bp-s40-5051a3723e-c08d1503-ca66dfdc/20260712T233827Z-1ccdaedc,2026-07-12T23:38:27Z,,false,
20260712T233827Z-1ccdaedc,pilot-fashionmnist-bp-s40-5051a3723e-c08d1503-ca66dfdc,completed,pilot,FashionMNIST,lenet_classic,bp,,,40,42,5051a3723ebc026e27b660c9e412d1000cae1529ae7b6df916f884f35322adea,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-bp-s40-5051a3723e-c08d1503-ca66dfdc/20260712T233827Z-1ccdaedc,2026-07-12T23:38:27Z,2026-07-12T23:38:39Z,false,
20260712T233843Z-6094d70f,pilot-fashionmnist-bp-s41-ff5e74ddbb-c08d1503-ca66dfdc,running,pilot,FashionMNIST,lenet_classic,bp,,,41,42,ff5e74ddbb5ae4b30f27e42571070506f0489bd7878774d040ff655b413c2dd2,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-bp-s41-ff5e74ddbb-c08d1503-ca66dfdc/20260712T233843Z-6094d70f,2026-07-12T23:38:43Z,,false,
20260712T233843Z-6094d70f,pilot-fashionmnist-bp-s41-ff5e74ddbb-c08d1503-ca66dfdc,completed,pilot,FashionMNIST,lenet_classic,bp,,,41,42,ff5e74ddbb5ae4b30f27e42571070506f0489bd7878774d040ff655b413c2dd2,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-bp-s41-ff5e74ddbb-c08d1503-ca66dfdc/20260712T233843Z-6094d70f,2026-07-12T23:38:43Z,2026-07-12T23:38:54Z,false,
20260712T233859Z-6b922837,pilot-fashionmnist-bp-s42-68db89c75f-c08d1503-ca66dfdc,running,pilot,FashionMNIST,lenet_classic,bp,,,42,42,68db89c75f1311473bdb185ba35a3e24e147b1e502cd8fecc9fb0508069ed754,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-bp-s42-68db89c75f-c08d1503-ca66dfdc/20260712T233859Z-6b922837,2026-07-12T23:38:59Z,,false,
20260712T233859Z-6b922837,pilot-fashionmnist-bp-s42-68db89c75f-c08d1503-ca66dfdc,completed,pilot,FashionMNIST,lenet_classic,bp,,,42,42,68db89c75f1311473bdb185ba35a3e24e147b1e502cd8fecc9fb0508069ed754,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-bp-s42-68db89c75f-c08d1503-ca66dfdc/20260712T233859Z-6b922837,2026-07-12T23:38:59Z,2026-07-12T23:39:10Z,false,
20260712T233914Z-8c110260,pilot-fashionmnist-fixedpred-s40-0735372eed-c08d1503-ca66dfdc,running,pilot,FashionMNIST,lenet_classic,fixedpred,0.1,1,40,42,0735372eed6ed7d7cee1b7650a8eb65f7825a2b9bc57f1ff484d18a0f4eae716,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s40-0735372eed-c08d1503-ca66dfdc/20260712T233914Z-8c110260,2026-07-12T23:39:14Z,,false,
20260712T233914Z-8c110260,pilot-fashionmnist-fixedpred-s40-0735372eed-c08d1503-ca66dfdc,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.1,1,40,42,0735372eed6ed7d7cee1b7650a8eb65f7825a2b9bc57f1ff484d18a0f4eae716,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s40-0735372eed-c08d1503-ca66dfdc/20260712T233914Z-8c110260,2026-07-12T23:39:14Z,2026-07-12T23:39:26Z,false,
