method,depth,width,batch_size,region,seed_count,host_time_median_us_median,host_time_median_us_min,host_time_median_us_max,device_time_median_us_median,device_time_median_us_min,device_time_median_us_max,host_time_share_of_region_sum_median,host_time_share_of_region_sum_min,host_time_share_of_region_sum_max,device_time_share_of_region_sum_median,device_time_share_of_region_sum_min,device_time_share_of_region_sum_max,host_time_to_composite_ratio_median,host_time_to_composite_ratio_min,host_time_to_composite_ratio_max,device_time_to_composite_ratio_median,device_time_to_composite_ratio_min,device_time_to_composite_ratio_max,peak_allocated_max_bytes_median,peak_allocated_max_bytes_min,peak_allocated_max_bytes_max,peak_reserved_max_bytes_median,peak_reserved_max_bytes_min,peak_reserved_max_bytes_max,vjp_calls_total_median,vjp_calls_total_min,vjp_calls_total_max,synchronization_points_total_median,synchronization_points_total_min,synchronization_points_total_max,saved_tensor_bytes_mean_median,saved_tensor_bytes_mean_min,saved_tensor_bytes_mean_max,saved_tensor_bytes_max_median,saved_tensor_bytes_max_min,saved_tensor_bytes_max_max,actual_inference_steps_total_median,actual_inference_steps_total_min,actual_inference_steps_total_max
fixedpred,4,256,64,optimizer_step,3,189.241,188.129,190.524,168.418996036,167.684003711,169.638998806,0.00484837627211,0.00484738895293,0.00485735789643,0.00444285905599,0.00444236207999,0.00445060007824,0.00612368242545,0.00611742262149,0.00613401827359,0.00543887389591,0.00543734488491,0.00543983745547,1224575488,1224575488,1224575488,1268776960,1268776960,1268776960,0,0,0,500,500,500,0,0,0,0,0,0,0,0,0
fixedpred,4,256,64,parameter_vjp,3,1408.5935,1404.921,1415.3975,1366.95295572,1361.84698343,1372.77299166,0.03606091763,0.0360184525551,0.036294247942,0.0359878424267,0.0359490136436,0.0362180004297,0.0455694512471,0.0454620829358,0.0458034739003,0.0440209031556,0.0439667252725,0.0443374715733,1224695808,1224695808,1224695808,1268776960,1268776960,1268776960,1000,1000,1000,500,500,500,593920,593920,593920,593920,593920,593920,0,0,0
fixedpred,4,256,64,state_inference,3,26758.256,26655.8135,26925.362,26712.6054764,26628.9215088,26889.3718719,0.686819590239,0.685185521188,0.6868217866,0.705544610449,0.704156041943,0.705900918669,0.866771611496,0.865875058803,0.86687589244,0.862406570328,0.862265241437,0.863715935124,1224236544,1224236544,1224236544,1268776960,1268776960,1268776960,10000,10000,10000,500,500,500,1931264,1931264,1931264,1931264,1931264,1931264,2500,2500,2500
fixedpred,4,256,256,initial_forward,3,791.135,791.07,791.3245,748.967021704,748.472988605,749.08798933,0.0201907199787,0.0201566861488,0.0203872136517,0.0196192016492,0.019616457902,0.0198348516943,0.0254698272279,0.0254664241322,0.0256648856945,0.0240681612725,0.0240640919211,0.0242300892705,1652113408,1652113408,1652113408,1858076672,1858076672,1858076672,250,250,250,500,500,500,2932740,2932740,2932740,2932740,2932740,2932740,0,0,0
fixedpred,4,256,256,local_state_vjp,3,9831.228,9712.9125,9870.704,8902.84202993,8789.03900087,8989.49802667,0.250502455223,0.250297638605,0.251851952589,0.233172411684,0.232913261764,0.235447095119,0.316532896708,0.315092606285,0.31765923404,0.285999524781,0.28452489647,0.288878791716,1657725440,1657725440,1657725440,1866465280,1866465280,1866465280,10000,10000,10000,20000,20000,20000,0,0,0,0,0,0,0,0,0
fixedpred,4,256,256,optimizer_step,3,189.752,188.7,190.268,167.579002678,167.55400598,167.588502169,0.00483493434222,0.00481469847071,0.00490312572074,0.00438936922773,0.004389025445,0.00444025223356,0.0061093843227,0.00607274794821,0.00617240606385,0.00538548024243,0.00538339498422,0.00542417506623,1648371712,1648371712,1648371712,1866465280,1866465280,1866465280,0,0,0,500,500,500,0,0,0,0,0,0,0,0,0
fixedpred,4,256,256,parameter_vjp,3,1399.2605,1395.0815,1399.6755,1353.83701324,1352.91701555,1356.64600134,0.0357128536796,0.0355470690931,0.0360583500513,0.0355323911494,0.0354339571863,0.0358772551379,0.0450443906772,0.0449169918894,0.0453928353434,0.0435960113112,0.0434618094104,0.0438273554131,1648885248,1648885248,1648885248,1866465280,1866465280,1866465280,1000,1000,1000,500,500,500,2375680,2375680,2375680,2375680,2375680,2375680,0,0,0
fixedpred,4,256,256,state_inference,3,26942.0815,26711.874,27038.903,26917.8438187,26676.3420105,27008.9435577,0.688353671971,0.687429775282,0.688958855193,0.706934379171,0.705014686602,0.707385404035,0.867050716215,0.866548936524,0.870562893098,0.865008721829,0.863585136893,0.86764934123,1651038720,1651038720,1651038720,1866465280,1866465280,1866465280,10000,10000,10000,500,500,500,3713024,3713024,3713024,3713024,3713024,3713024,2500,2500,2500
fixedpred,8,64,64,initial_forward,3,1183.2035,1168.9,1195.5665,1138.24349642,1124.08047915,1151.63350105,0.0156535684442,0.0154815546758,0.0156771123749,0.0154946476734,0.0153059032007,0.015500620235,0.0201110770105,0.0198072961027,0.0201126298456,0.0193406291158,0.0190543344241,0.0193732091326,472054784,472054784,472054784,476053504,476053504,476053504,250,250,250,500,500,500,536580,536580,536580,536580,536580,536580,0,0,0
fixedpred,8,64,64,local_state_vjp,3,18866.3245,18435.7675,19066.5515,16960.8845264,16566.0595596,17131.4750314,0.247257762695,0.246855282526,0.249638618095,0.228351315563,0.228072163449,0.230584199125,0.317189785218,0.315829758568,0.320750449893,0.285031205324,0.283927267682,0.288192075196,473044480,473044480,473044480,476053504,476053504,476053504,20000,20000,20000,40000,40000,40000,0,0,0,0,0,0,0,0,0
fixedpred,8,64,64,optimizer_step,3,204.029,201.4295,206.114,180.425003171,178.058505058,182.067006826,0.00269688617423,0.0026713544718,0.00270154239637,0.0024482459081,0.00242846309394,0.00245440949497,0.0034504301491,0.00343231409944,0.00346562082872,0.00304782381502,0.00303517683012,0.00306362717896,472028672,472028672,472028672,476053504,476053504,476053504,0,0,0,500,500,500,0,0,0,0,0,0,0,0,0
fixedpred,8,64,64,parameter_vjp,3,2658.807,2619.873,2684.794,2607.91051388,2575.32000542,2638.11790943,0.0351373457344,0.0347889994773,0.0351520443553,0.0354989494707,0.0350684418643,0.0355082270634,0.0450752567892,0.0445094842341,0.0451654240343,0.0443102695967,0.0436567388577,0.0443794053657,472058368,472058368,472058368,476053504,476053504,476053504,2000,2000,2000,500,500,500,430080,430080,430080,430080,430080,430080,0,0,0
fixedpred,8,64,64,state_inference,3,53225.6695,52134.955,53512.21,53194.311142,52102.853775,53477.2014618,0.699226236799,0.696884414634,0.700177277146,0.718200677798,0.715978490482,0.719105245578,0.895815629841,0.895398281015,0.896988703008,0.895214849833,0.89485458132,0.896467814746,472643072,472643072,472643072,476053504,476053504,476053504,20000,20000,20000,500,500,500,731648,731648,731648,731648,731648,731648,2500,2500,2500
fixedpred,8,64,256,initial_forward,3,1184.909,1181.153,1206.1055,1141.01600647,1138.20099831,1161.74149513,0.0156056355079,0.0155427119555,0.0156490598657,0.0154371282627,0.0153875901826,0.0154928295628,0.0200308889887,0.0200148712751,0.0201782598335,0.0192880378061,0.0192867370256,0.019434878984,809601536,809601536,809601536,836763648,836763648,836763648,250,250,250,500,500,500,1843716,1843716,1843716,1843716,1843716,1843716,0,0,0
fixedpred,8,64,256,local_state_vjp,3,18967.1255,18878.2595,19319.0885,17099.9575481,16998.8524988,17380.7284981,0.249587113837,0.248632795245,0.250662626518,0.231178095328,0.229982283207,0.231787076063,0.321401694227,0.319137014187,0.323210189739,0.289757595424,0.2873531202,0.2907637856,813558784,813558784,813558784,838860800,838860800,838860800,20000,20000,20000,40000,40000,40000,0,0,0,0,0,0,0,0,0
fixedpred,8,64,256,optimizer_step,3,206.127,206.113,211.241,183.334499598,182.669006288,187.872499228,0.00271222694205,0.00267447065198,0.0027821124241,0.00247853951133,0.00243604949352,0.00254178017764,0.00349262556428,0.00344852433283,0.00357102952282,0.00310659038844,0.00305588639659,0.00317584665533,808580096,808580096,808580096,838860800,838860800,838860800,0,0,0,500,500,500,0,0,0,0,0,0,0,0,0
fixedpred,8,64,256,parameter_vjp,3,2690.612,2663.8435,2706.162,2645.77746391,2617.35653877,2662.10544109,0.0351120952058,0.0350533353553,0.0354362319513,0.0355014829459,0.0353846199751,0.0357954716091,0.0452743478805,0.0451393551466,0.0454848011818,0.0445346037023,0.0443509251359,0.0447249253832,808756736,808756736,808756736,838860800,838860800,838860800,2000,2000,2000,500,500,500,1720320,1720320,1720320,1720320,1720320,1720320,0,0,0
fixedpred,8,64,256,state_inference,3,52975.7745,52963.2545,53634.591,52940.2294159,52929.9125671,53598.5088348,0.69710461191,0.695901747759,0.697543224872,0.715571155003,0.714782561935,0.716243336744,0.897311813323,0.89534392208,0.897684980113,0.896654322232,0.894915707269,0.896893699784,811954688,811954688,811954688,838860800,838860800,838860800,20000,20000,20000,500,500,500,2021888,2021888,2021888,2021888,2021888,2021888,2500,2500,2500
fixedpred,8,256,64,initial_forward,3,1184.248,1182.708,1221.523,1140.59001207,1140.21253586,1177.28000879,0.0159998413537,0.0154071900507,0.0160171622577,0.0158346217759,0.0152658637468,0.0158582809627,0.020589279474,0.0198508730662,0.0205914798376,0.0198300155205,0.0191372683411,0.0198453160046,2057049088,2057049088,2057049088,2126512128,2126512128,2126512128,250,250,250,500,500,500,2706948,2706948,2706948,2706948,2706948,2706948,0,0,0
fixedpred,8,256,64,local_state_vjp,3,19058.056,18386.1355,19129.137,17111.2065017,16617.3095331,17228.8824841,0.249196123865,0.248675712854,0.24962761447,0.230670830429,0.230492591642,0.230695349428,0.321068319867,0.319660478427,0.321265809869,0.288904428815,0.288442254782,0.289168674214,2059169280,2059169280,2059169280,2126512128,2126512128,2126512128,20000,20000,20000,40000,40000,40000,0,0,0,0,0,0,0,0,0
fixedpred,8,256,64,optimizer_step,3,204.9075,204.2055,205.5375,182.480506599,182.375006378,183.786004782,0.00269218622346,0.00266019418816,0.00277140993721,0.00245664079073,0.0024431607815,0.00255147059208,0.00346479050098,0.0034274372541,0.0035625120615,0.00307428105962,0.00306274340263,0.00319525797061,2058717696,2058717696,2058717696,2126512128,2126512128,2126512128,0,0,0,500,500,500,0,0,0,0,0,0,0,0,0
