cell_id,method,depth,width,batch_size,model_seed,region,host_time_median_us,device_time_median_us,host_time_share_of_region_sum,device_time_share_of_region_sum,host_time_to_composite_ratio,device_time_to_composite_ratio,peak_allocated_max_bytes,peak_reserved_max_bytes,vjp_calls_total,synchronization_points_total,saved_tensor_bytes_mean,saved_tensor_bytes_max,actual_inference_steps_total,non_finite_events_total
s3b-cell-8830653b4bb31288ee7a,fixedpred,8,256,64,71,parameter_vjp,2691.661,2643.77200603,0.0350643883182,0.03539643878,0.0451775255162,0.0443729328708,2058838016,2126512128,2000,500,1118208,1118208,0,0
s3b-cell-8830653b4bb31288ee7a,fixedpred,8,256,64,71,state_inference,53555.6695,53494.9913025,0.697672103578,0.716223706262,0.898892031862,0.897857172469,2057588224,2126512128,20000,500,3504128,3504128,2500,0
s3b-cell-4f8f8dff1f2c0878c8ef,fixedpred,8,256,64,72,initial_forward,1184.248,1140.59001207,0.0160171622577,0.0158346217759,0.020589279474,0.0198300155205,2057049088,2126512128,250,500,2706948,2706948,0,0
s3b-cell-4f8f8dff1f2c0878c8ef,fixedpred,8,256,64,72,local_state_vjp,18386.1355,16617.3095331,0.248675712854,0.230695349428,0.319660478427,0.288904428815,2059169280,2126512128,20000,40000,0,0,0,0
s3b-cell-4f8f8dff1f2c0878c8ef,fixedpred,8,256,64,72,optimizer_step,204.9075,183.786004782,0.00277140993721,0.00255147059208,0.0035625120615,0.00319525797061,2058717696,2126512128,0,500,0,0,0,0
s3b-cell-4f8f8dff1f2c0878c8ef,fixedpred,8,256,64,72,parameter_vjp,2649.3165,2608.57093334,0.0358324711147,0.0362143571904,0.0460608908214,0.0453519683208,2058838016,2126512128,2000,500,1118208,1118208,0,0
s3b-cell-4f8f8dff1f2c0878c8ef,fixedpred,8,256,64,72,state_inference,51511.5855,51481.1458588,0.696703243836,0.714704201014,0.895577978605,0.895038454298,2057588224,2126512128,20000,500,3504128,3504128,2500,0
s3b-cell-dcb9287922268d05fa17,fixedpred,8,256,256,70,initial_forward,1190.407,1145.79600096,0.0157746244528,0.0155901959901,0.0202320521495,0.019473497391,2762203648,3013607424,250,500,6078468,6078468,0,0
s3b-cell-dcb9287922268d05fa17,fixedpred,8,256,256,70,local_state_vjp,18638.753,16803.5305217,0.246990591321,0.228636104455,0.316782598471,0.28558618419,2770682880,3015704576,20000,40000,0,0,0,0
s3b-cell-dcb9287922268d05fa17,fixedpred,8,256,256,70,optimizer_step,202.2975,181.336000562,0.00268073616018,0.00246733605847,0.00343823042851,0.00308191521953,2761697280,3015704576,0,500,0,0,0,0
s3b-cell-dcb9287922268d05fa17,fixedpred,8,256,256,70,parameter_vjp,2643.7955,2599.45940971,0.0350341363437,0.0353693690952,0.0449337146275,0.0441793879458,2762210816,3015704576,2000,500,4472832,4472832,0,0
s3b-cell-dcb9287922268d05fa17,fixedpred,8,256,256,70,state_inference,52788.16,52764.5282745,0.699519911722,0.717936994402,0.897182901307,0.896765133438,2764360192,3015704576,20000,500,6858752,6858752,2500,0
s3b-cell-9861f1004a37f05001a5,fixedpred,8,256,256,71,initial_forward,1173.456,1132.69799948,0.0157327129179,0.015593346042,0.020207406193,0.0195052854462,2762203648,3013607424,250,500,6078468,6078468,0,0
s3b-cell-9861f1004a37f05001a5,fixedpred,8,256,256,71,local_state_vjp,18497.238,16685.4774728,0.247995438455,0.229701495218,0.318530223302,0.287327249685,2770682880,3015704576,20000,40000,0,0,0,0
s3b-cell-9861f1004a37f05001a5,fixedpred,8,256,256,71,optimizer_step,199.417,179.001502693,0.00267361572308,0.00246423351575,0.00343404466874,0.00308244157483,2761697280,3015704576,0,500,0,0,0,0
s3b-cell-9861f1004a37f05001a5,fixedpred,8,256,256,71,parameter_vjp,2616.517,2573.39298725,0.0350800633392,0.0354267486752,0.0450575239549,0.044314340455,2762210816,3015704576,2000,500,4472832,4472832,0,0
s3b-cell-9861f1004a37f05001a5,fixedpred,8,256,256,71,state_inference,52100.381,52069.2596436,0.698518169565,0.716814176549,0.897190488335,0.896643035291,2764360192,3015704576,20000,500,6858752,6858752,2500,0
s3b-cell-9e3f60132565995bd1d9,fixedpred,8,256,256,72,initial_forward,1201.861,1159.1989994,0.0158278147584,0.0156739184389,0.0203167174584,0.0195952639012,2762203648,3013607424,250,500,6078468,6078468,0,0
s3b-cell-9e3f60132565995bd1d9,fixedpred,8,256,256,72,local_state_vjp,18780.955,16935.0249916,0.247334322958,0.228984152519,0.3174804377,0.286272058598,2770682880,3015704576,20000,40000,0,0,0,0
s3b-cell-9e3f60132565995bd1d9,fixedpred,8,256,256,72,optimizer_step,202.0325,181.016504765,0.00266065126098,0.00244758486957,0.00341523455701,0.00305992860859,2761697280,3015704576,0,500,0,0,0,0
