depth,width,batch_size,region,seed_count,strict_to_fixedpred_device_time_median_us_ratio_median,strict_to_fixedpred_device_time_median_us_ratio_min,strict_to_fixedpred_device_time_median_us_ratio_max,strict_to_fixedpred_host_time_median_us_ratio_median,strict_to_fixedpred_host_time_median_us_ratio_min,strict_to_fixedpred_host_time_median_us_ratio_max,strict_to_fixedpred_device_time_share_of_region_sum_ratio_median,strict_to_fixedpred_device_time_share_of_region_sum_ratio_min,strict_to_fixedpred_device_time_share_of_region_sum_ratio_max,strict_to_fixedpred_host_time_share_of_region_sum_ratio_median,strict_to_fixedpred_host_time_share_of_region_sum_ratio_min,strict_to_fixedpred_host_time_share_of_region_sum_ratio_max,strict_minus_fixedpred_vjp_calls_total_median,strict_minus_fixedpred_vjp_calls_total_min,strict_minus_fixedpred_vjp_calls_total_max
4,64,64,initial_forward,3,1.00707045913,1.00117285867,1.00787588113,1.00465986777,1.00318058016,1.00706783093,0.524133780895,0.516423923432,0.535650263805,0.526920143358,0.518145629943,0.53974938883,0,0,0
4,64,64,local_state_vjp,3,1.41770759209,1.41648243867,1.44834731965,1.42799695821,1.42688676146,1.46184624328,0.742709905275,0.736624727365,0.75850582557,0.753936000532,0.747159564456,0.767719464132,5000,5000,5000
4,64,64,optimizer_step,3,1.01657955297,0.996157069589,1.01737874239,1.02284506818,0.999678804295,1.02477676368,0.528660021199,0.521709992578,0.532966702499,0.535175142532,0.52852076489,0.537865299944,0,0,0
4,64,64,parameter_vjp,3,0.992115045449,0.991794061164,0.997254688427,0.993886945012,0.993670459491,0.996596009498,0.515770623032,0.508754814145,0.533553953556,0.520023612575,0.512477926815,0.536206638841,0,0,0
4,64,64,state_inference,3,2.16944874877,2.09397682238,2.19554090836,2.16965148818,2.09448791188,2.19561944674,1.12586943611,1.12032525412,1.12819583884,1.13237390867,1.12691432899,1.13520960364,10000,10000,10000
4,64,256,initial_forward,3,1.00157268375,0.993322356614,1.02185642658,1.00146323991,0.989778770332,1.01990165618,0.529389375208,0.522626912741,0.536343906354,0.531646648937,0.525905519442,0.537302641159,0,0,0
4,64,256,local_state_vjp,3,1.42944883716,1.41661705257,1.46919734185,1.43749753778,1.42365939398,1.47470437486,0.761141626777,0.745895375145,0.764901664323,0.768722782547,0.754883313909,0.772835279382,5000,5000,5000
4,64,256,optimizer_step,3,0.999063656252,0.976507457726,1.00011816392,0.998245483844,0.974868532225,1.00021292565,0.521867935163,0.517581209081,0.527264710165,0.525248933017,0.52035788263,0.529208599788,0,0,0
4,64,256,parameter_vjp,3,0.997590718939,0.983112917022,1.01082700039,0.998298777937,0.982066289972,1.00968987295,0.523675401221,0.520549098508,0.530831324586,0.526323527534,0.524243743003,0.533115911567,0,0,0
4,64,256,state_inference,3,2.15592846718,2.06826720263,2.15633040305,2.15634739974,2.07030134514,2.15728804833,1.11712210749,1.11675983477,1.12497700583,1.12453485562,1.12386566987,1.13237805859,10000,10000,10000
4,256,64,initial_forward,3,0.987103766416,0.983801582056,0.995790744538,0.988159664693,0.983260525579,0.995016073553,0.526246223379,0.517304377797,0.53047700011,0.529256986938,0.521087852015,0.533287847662,0,0,0
4,256,64,local_state_vjp,3,1.41824068212,1.39476622095,1.41948971836,1.42647189764,1.40698574898,1.42736151901,0.749498634026,0.730945110987,0.765404997529,0.759224978271,0.741948095988,0.773670973513,5000,5000,5000
4,256,64,optimizer_step,3,1.01077673053,0.983122980609,1.02997541215,1.0141644781,0.989722477662,1.03565167643,0.534165877761,0.530111090493,0.539771813111,0.539442176066,0.536792595822,0.546131892232,0,0,0
4,256,64,parameter_vjp,3,0.983809778246,0.977891715083,0.991004508447,0.984560874242,0.978337966205,0.990337179101,0.523716837882,0.515578121086,0.527290332636,0.526768245654,0.519190095961,0.530618014973,0,0,0
4,256,64,state_inference,3,2.12603560054,2.07379381636,2.15864262268,2.12522757462,2.07399194551,2.15848845412,1.12354750402,1.11821320743,1.13126432783,1.13042550025,1.12486433851,1.13823924649,10000,10000,10000
4,256,256,initial_forward,3,1.00526191327,1.00381731261,1.00879791528,1.00605382583,1.00464663991,1.00655261112,0.532851759234,0.52146072284,0.538665714835,0.534826071125,0.525243721817,0.540828632037,0,0,0
4,256,256,local_state_vjp,3,1.43350848752,1.39807583822,1.43518995924,1.44295446912,1.41456404731,1.44843935061,0.749153539838,0.745549199196,0.757185862381,0.761498330105,0.756205737513,0.766705744937,5000,5000,5000
4,256,256,optimizer_step,3,1.01315988755,1.0094904947,1.04030935699,1.00716746158,0.999156453003,1.03872949956,0.540417526632,0.535155773309,0.54093158387,0.542185658959,0.530896164089,0.542303139554,0,0,0
4,256,256,parameter_vjp,3,0.992868466552,0.992038657195,0.994729813166,0.992999091575,0.992291642621,0.994581320159,0.525420922147,0.515341973848,0.532024734265,0.527248585686,0.519254120244,0.534558439733,0,0,0
4,256,256,state_inference,3,2.12060164652,2.09584960783,2.16424001613,2.12049469086,2.09584890462,2.16545710083,1.12305292013,1.1201116704,1.12427445615,1.12825251289,1.12671293266,1.13054860274,10000,10000,10000
8,64,64,initial_forward,3,0.97459528613,0.971410580831,0.983597095539,0.974893917358,0.973912785278,0.984537740127,0.448985474164,0.434968087568,0.469836093894,0.45194256855,0.438806238498,0.4723260945,0,0,0
8,64,64,local_state_vjp,3,1.79586188249,1.78244137581,1.82468983416,1.79352456578,1.77747986353,1.82032541633,0.832921563218,0.804132283482,0.859285187939,0.835602852711,0.808090601397,0.86117074591,15000,15000,15000
8,64,64,optimizer_step,3,1.05088784783,0.978917014748,1.06352222232,1.04635298912,0.978583077454,1.05674438438,0.476212876675,0.471919527009,0.479701882803,0.476126851779,0.474113454693,0.480318263323,0,0,0
8,64,64,parameter_vjp,3,0.991225223775,0.980098410663,1.00073045622,0.992232364941,0.980417753074,1.00118511799,0.456806389966,0.443840481505,0.472489058228,0.459584387043,0.447060310078,0.475002336196,0,0,0
8,64,64,state_inference,3,2.394402773,2.24869102099,2.46705371579,2.39397428176,2.24842113127,2.46637688606,1.09298011274,1.08405634699,1.10467155481,1.09893084017,1.08933695535,1.11125100774,20000,20000,20000
8,64,256,initial_forward,3,0.9939404616,0.972496032485,1.01595287319,0.99384838374,0.973221662616,1.01531552212,0.451757103614,0.438010026328,0.45994888296,0.453870165136,0.440786375524,0.462725833432,0,0,0
8,64,256,local_state_vjp,3,1.78593744918,1.76986828059,1.81967968448,1.77993618485,1.77209312955,1.82327973614,0.809145035626,0.797144693943,0.826447827129,0.815049368302,0.802606988388,0.828720424628,15000,15000,15000
8,64,256,optimizer_step,3,1.04023665786,0.987645498754,1.04793407472,1.03803480379,0.993489008457,1.04787659593,0.465977974834,0.457035870318,0.46852025168,0.468425738869,0.462558511906,0.47014119846,0,0,0
8,64,256,parameter_vjp,3,0.997615729074,0.981740251455,0.99797471343,0.996054197628,0.982732371528,0.998267494533,0.443762873179,0.442173601766,0.461649623834,0.446249291695,0.445093915185,0.463752838241,0,0,0
8,64,256,state_inference,3,2.4588920238,2.36883239441,2.4800618621,2.45898487415,2.36766012737,2.47949596828,1.10279284913,1.09618418388,1.10747943859,1.10839361761,1.102358794,1.11371034141,20000,20000,20000
8,256,64,initial_forward,3,0.990317269743,0.951686508976,0.996528206143,0.990728715607,0.953291096443,0.998691984835,0.452113192239,0.442245240822,0.456474304622,0.455723513397,0.444559120199,0.459977157395,0,0,0
8,256,64,local_state_vjp,3,1.77831397338,1.77247463396,1.80779788349,1.78131391918,1.76455959097,1.81529375763,0.814582697604,0.80730694573,0.842041110556,0.820436856823,0.814557389001,0.843552718992,15000,15000,15000
8,256,64,optimizer_step,3,0.99679229792,0.983241362871,1.06902105939,0.990084534452,0.989661188585,1.06402863782,0.473541385279,0.439085358394,0.489680715209,0.473312720831,0.444080100195,0.490069887055,0,0,0
8,256,64,parameter_vjp,3,0.986966694769,0.96970504742,0.996662139259,0.986591922237,0.968136914777,0.997096798363,0.452094514638,0.445078664446,0.460673173765,0.454404115373,0.447416601993,0.462820598974,0,0,0
8,256,64,state_inference,3,2.40167032353,2.29789392671,2.47369512452,2.40008022867,2.29641971224,2.47279638675,1.10012018135,1.09164955984,1.10467617751,1.10542799769,1.09780995899,1.10959152471,20000,20000,20000
8,256,256,initial_forward,3,0.986909951043,0.97679910496,0.989476896358,0.987533916152,0.976017446134,0.991240404412,0.446578027004,0.433633415796,0.45175110793,0.449019005779,0.435865214949,0.454980631572,0,0,0
8,256,256,local_state_vjp,3,1.79930023714,1.78494474566,1.80868953491,1.80247255797,1.78603297656,1.80784993414,0.814185680304,0.792395983103,0.825767134437,0.819561153988,0.797598086304,0.829805465111,15000,15000,15000
8,256,256,optimizer_step,3,0.994944178346,0.982383511954,0.995442389131,1.00059643869,0.992150174866,1.00535561161,0.450438966255,0.436112518683,0.454247225529,0.454958367241,0.443069691984,0.461459529987,0,0,0
8,256,256,parameter_vjp,3,1.00072202941,0.990820443288,1.00508380319,1.00088645374,0.990030053383,1.00483658237,0.452828010299,0.439857951428,0.458876526906,0.455090233365,0.442122898247,0.461221294894,0,0,0
8,256,256,state_inference,3,2.43156917124,2.40141413212,2.49575103703,2.43182256345,2.40047009445,2.49512580094,1.10028818928,1.09637880255,1.10794639519,1.10571852957,1.10181888751,1.11426137705,20000,20000,20000
16,64,64,initial_forward,3,0.984910566142,0.977616795089,1.02832899522,0.984634034966,0.97793282245,1.02776108478,0.4353239563,0.434535305629,0.439887014497,0.437333441792,0.436580313001,0.441542641685,0,0,0
16,64,64,local_state_vjp,3,1.91792564692,1.91084057412,1.93461470676,1.91261806182,1.90989688465,1.938439449,0.846174704392,0.827567725424,0.850880102266,0.848042381663,0.832784669251,0.85410956546,35000,35000,35000
16,64,64,optimizer_step,3,1.01255528746,0.971233024398,1.01276821548,1.01217860178,0.974689950816,1.01425447874,0.433230599115,0.4285008747,0.450881752364,0.434848157132,0.432171170906,0.453576556444,0,0,0
16,64,64,parameter_vjp,3,0.987062634196,0.979989893104,1.00877091019,0.988754349049,0.979467890434,1.00869233527,0.435484782243,0.431520676807,0.436380675478,0.438019927152,0.433350401136,0.438407233407,0,0,0
16,64,64,state_inference,3,2.46586960708,2.44232299014,2.55949028371,2.46540400299,2.44198233791,2.5590134659,1.08792355386,1.08754443661,1.0948699733,1.09314406477,1.092059205,1.09939321752,40000,40000,40000
16,64,256,initial_forward,3,0.993130906108,0.983549530855,1.0235448156,0.993282838841,0.983983301016,1.0234174797,0.435241677794,0.432275628082,0.442015482493,0.437690752984,0.434244282267,0.444164642962,0,0,0
16,64,256,local_state_vjp,3,1.91019909642,1.90230363312,1.93368331622,1.91201651129,1.89755297818,1.93099673135,0.835056707809,0.831443779556,0.841809994289,0.838055330059,0.835897093117,0.844060454064,35000,35000,35000
16,64,256,optimizer_step,3,1.0009181124,0.993349828925,1.0049158477,1.00606589215,0.994301268065,1.00608860973,0.435665130383,0.433970605405,0.439578519042,0.439832788979,0.436643888727,0.442280341814,0,0,0
16,64,256,parameter_vjp,3,0.991692487432,0.976950168119,0.995174180898,0.992228629459,0.976956947993,0.995400937718,0.431649534047,0.429763688927,0.43232131881,0.433783402064,0.432005423862,0.434565324187,0,0,0
16,64,256,state_inference,3,2.51200447955,2.4639845258,2.52902255702,2.5117852267,2.46290374504,2.52842700828,1.09215259434,1.09036578782,1.09338890519,1.09734092065,1.09553708237,1.098104518,40000,40000,40000
16,256,64,initial_forward,3,1.01030770883,0.999790348057,1.03779664968,1.00999331312,0.997784124547,1.03755917358,0.436700143053,0.427013741738,0.447574905206,0.437929490359,0.429110141671,0.449279123037,0,0,0
16,256,64,local_state_vjp,3,1.94190490763,1.92249676464,1.94592475902,1.94351697097,1.91971305417,1.94560112938,0.837493458109,0.822458945157,0.839730663301,0.842475293406,0.82573105378,0.842565980722,35000,35000,35000
16,256,64,optimizer_step,3,1.0049346453,0.984659465002,1.00979124998,1.0003736039,0.985386049335,1.01568164384,0.430091098659,0.424742778205,0.435496899249,0.432487949824,0.425023070269,0.439805815274,0,0,0
