model_seed,batch_index,component,zero_relation,cosine,relative_l2,max_abs,reference_norm,candidate_norm,finite,passed,comparison_kind
0,2,gradient:0.0.bias,nonzero,1.0000000000000002,0.0,0.0,0.0030860606714174016,0.0030860606714174016,True,True,endpoint_gradient
0,2,gradient:0.0.weight,nonzero,1.0,0.0,0.0,0.01132088659789249,0.01132088659789249,True,True,endpoint_gradient
0,2,gradient:1.0.bias,nonzero,1.0000000000000004,0.0,0.0,0.012289177742949057,0.012289177742949057,True,True,endpoint_gradient
0,2,gradient:1.0.weight,nonzero,1.0,0.0,0.0,0.04767546448158786,0.04767546448158786,True,True,endpoint_gradient
0,2,gradient:3.0.bias,nonzero,1.0,0.0,0.0,0.01813098549719103,0.01813098549719103,True,True,endpoint_gradient
0,2,gradient:3.0.weight,nonzero,0.999999999999997,0.0,0.0,0.07784053311274308,0.07784053311274308,True,True,endpoint_gradient
0,2,gradient:4.0.bias,nonzero,1.0,0.0,0.0,0.03088993718046327,0.03088993718046327,True,True,endpoint_gradient
0,2,gradient:4.0.weight,nonzero,1.0000000000000002,0.0,0.0,0.043581486648290584,0.043581486648290584,True,True,endpoint_gradient
0,2,gradient:5.bias,nonzero,1.0000000000000002,0.0,0.0,0.05656168327623737,0.05656168327623737,True,True,endpoint_gradient
0,2,gradient:5.weight,nonzero,1.0,0.0,0.0,0.044138811843548315,0.044138811843548315,True,True,endpoint_gradient
0,2,parameter:0.0.bias,nonzero,0.9999999999999998,0.0,0.0,0.3551071532959346,0.3551071532959346,True,True,parameter_after_optimizer_step
0,2,parameter:0.0.weight,nonzero,1.0000000000000002,0.0,0.0,1.4162491136536548,1.4162491136536548,True,True,parameter_after_optimizer_step
0,2,parameter:1.0.bias,nonzero,1.0,0.0,0.0,0.15984764880649757,0.15984764880649757,True,True,parameter_after_optimizer_step
0,2,parameter:1.0.weight,nonzero,0.999999999999999,0.0,0.0,2.3117924014492166,2.3117924014492166,True,True,parameter_after_optimizer_step
0,2,parameter:3.0.bias,nonzero,1.0000000000000002,0.0,0.0,0.29565511947717676,0.29565511947717676,True,True,parameter_after_optimizer_step
0,2,parameter:3.0.weight,nonzero,0.9999999999999988,0.0,0.0,6.310398924851194,6.310398924851194,True,True,parameter_after_optimizer_step
0,2,parameter:4.0.bias,nonzero,1.0000000000000002,0.0,0.0,0.4806943694204991,0.4806943694204991,True,True,parameter_after_optimizer_step
0,2,parameter:4.0.weight,nonzero,0.9999999999999997,0.0,0.0,5.247117922776566,5.247117922776566,True,True,parameter_after_optimizer_step
0,2,parameter:5.bias,nonzero,1.0,0.0,0.0,0.17866672173890788,0.17866672173890788,True,True,parameter_after_optimizer_step
0,2,parameter:5.weight,nonzero,1.0,0.0,0.0,1.8204449138952803,1.8204449138952803,True,True,parameter_after_optimizer_step
0,3,gradient:0.0.bias,nonzero,1.0,0.0,0.0,0.007523633908264689,0.007523633908264689,True,True,endpoint_gradient
0,3,gradient:0.0.weight,nonzero,1.0000000000000002,0.0,0.0,0.012485332386682962,0.012485332386682962,True,True,endpoint_gradient
0,3,gradient:1.0.bias,nonzero,1.0,0.0,0.0,0.011572762728987163,0.011572762728987163,True,True,endpoint_gradient
0,3,gradient:1.0.weight,nonzero,1.0000000000000002,0.0,0.0,0.04394426613994823,0.04394426613994823,True,True,endpoint_gradient
0,3,gradient:3.0.bias,nonzero,0.9999999999999999,0.0,0.0,0.021223026753138377,0.021223026753138377,True,True,endpoint_gradient
0,3,gradient:3.0.weight,nonzero,1.0000000000000016,0.0,0.0,0.08092319433375084,0.08092319433375084,True,True,endpoint_gradient
0,3,gradient:4.0.bias,nonzero,0.9999999999999999,0.0,0.0,0.036097205717206766,0.036097205717206766,True,True,endpoint_gradient
0,3,gradient:4.0.weight,nonzero,1.0000000000000009,0.0,0.0,0.045508048512463234,0.045508048512463234,True,True,endpoint_gradient
0,3,gradient:5.bias,nonzero,0.9999999999999998,0.0,0.0,0.06581239648869867,0.06581239648869867,True,True,endpoint_gradient
0,3,gradient:5.weight,nonzero,1.0000000000000004,0.0,0.0,0.04681873802344264,0.04681873802344264,True,True,endpoint_gradient
0,3,parameter:0.0.bias,nonzero,1.0,0.0,0.0,0.3551069643739488,0.3551069643739488,True,True,parameter_after_optimizer_step
0,3,parameter:0.0.weight,nonzero,1.0000000000000002,0.0,0.0,1.4162496969731544,1.4162496969731544,True,True,parameter_after_optimizer_step
