pair_id,component,passed,finite,presence_match,reference_l2,candidate_l2,difference_l2,relative_l2,cosine,max_abs,zero_case
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/beliefs/layer_0,True,True,True,198.61801164763378,198.61801164763378,0.0,0.0,0.999999999999978,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/beliefs/layer_1,True,True,True,285.74239084611577,285.74239084611577,0.0,0.0,1.0000000000000195,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/beliefs/layer_2,True,True,True,199.1925065552754,199.1925065552754,0.0,0.0,0.9999999999999696,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/beliefs/layer_3,True,True,True,199.1925065552754,199.1925065552754,0.0,0.0,0.9999999999999696,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/beliefs/layer_4,True,True,True,150.1114272690598,150.1114272690598,0.0,0.0,0.9999999999999875,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/beliefs/layer_5,True,True,True,121.21848227767858,121.21848227767858,0.0,0.0,0.9999999999999913,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/beliefs/layer_6,True,True,True,190.9580910568978,190.9580910568978,0.0,0.0,1.0000000000000009,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/prediction_errors/layer_0,True,True,True,,,,,,,both_missing
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/prediction_errors/layer_1,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/prediction_errors/layer_2,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/prediction_errors/layer_3,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/prediction_errors/layer_4,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/prediction_errors/layer_5,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/prediction_errors/layer_6,True,True,True,0.023309412333083587,0.023309412333083587,0.0,0.0,1.0000000000000002,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/state_corrections/layer_0,True,True,True,,,,,,,both_missing
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/state_corrections/layer_1,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/state_corrections/layer_2,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/state_corrections/layer_3,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/state_corrections/layer_4,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/state_corrections/layer_5,True,True,True,0.001724045253511791,0.001724045253511791,0.0,0.0,1.0000000000000002,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_0/state_corrections/layer_6,True,True,True,,,,,,,both_missing
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_1/beliefs/layer_0,True,True,True,198.61801164763378,198.61801164763378,0.0,0.0,0.999999999999978,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_1/beliefs/layer_1,True,True,True,285.74239084611577,285.74239084611577,0.0,0.0,1.0000000000000195,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_1/beliefs/layer_2,True,True,True,199.1925065552754,199.1925065552754,0.0,0.0,0.9999999999999696,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_1/beliefs/layer_3,True,True,True,199.1925065552754,199.1925065552754,0.0,0.0,0.9999999999999696,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_1/beliefs/layer_4,True,True,True,150.11142698879968,150.11142698879968,0.0,0.0,0.9999999999999879,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_1/beliefs/layer_5,True,True,True,121.21846739879578,121.21846739879578,0.0,0.0,0.9999999999999913,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_1/beliefs/layer_6,True,True,True,190.9580910568978,190.9580910568978,0.0,0.0,1.0000000000000009,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_1/prediction_errors/layer_0,True,True,True,,,,,,,both_missing
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_1/prediction_errors/layer_1,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_1/prediction_errors/layer_2,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_1/prediction_errors/layer_3,True,True,True,0.0,0.0,0.0,0.0,,0.0,both_zero
