model_seed,order,batch_count,median_d,mean_d
6,ABC,3,-0.15856043971873407,-0.1583764235882264
6,BCA,3,-0.1568718627386196,-0.16792683130782837
6,CAB,3,-0.2100613110402092,-0.2000471943984643
6,ACB,3,-0.2126541671361069,-0.21023787576965638
6,CBA,3,-0.21285552586755652,-0.19926582021457404
6,BAC,3,-0.14408286342262153,-0.16106846614869028
