model_seed,batch_index,parameter,cosine,relative_l2,max_abs
0,0,0.0.bias,0.9999998807907104,0.0007502382222954737,1.989305019378662e-06
0,0,0.0.weight,0.9999997615814209,0.0006044469217669289,1.5555269783362746e-06
0,0,1.0.bias,0.9999998807907104,0.00021723020415271855,8.287024684250355e-07
0,0,1.0.weight,1.0000001192092896,0.00010143596097604054,3.890309017151594e-07
0,0,3.0.bias,1.0000001192092896,3.976668036438876e-05,1.7738784663379192e-07
0,0,3.0.weight,1.0000008344650269,1.5073963606571329e-05,5.75091689825058e-08
0,0,4.0.bias,1.0,1.3055020609228408e-05,8.079223334789276e-08
0,0,4.0.weight,1.0000003576278687,5.051317862769791e-06,1.391163095831871e-08
0,0,5.bias,1.0,0.0,0.0
0,0,5.weight,1.0,0.0,0.0
0,1,0.0.bias,0.9999997019767761,0.0006677742462384154,2.0605511963367462e-06
0,1,0.0.weight,1.0,0.00030062362399003165,1.0414514690637589e-06
0,1,1.0.bias,1.0,0.00012903135805785912,8.158385753631592e-07
0,1,1.0.weight,1.0,8.195021852850414e-05,3.282912075519562e-07
0,1,3.0.bias,1.0,1.366363073439759e-05,1.0943040251731873e-07
0,1,3.0.weight,0.9999996423721313,1.0319409087022274e-05,3.317836672067642e-08
0,1,4.0.bias,0.9999998807907104,4.7887109463444325e-06,7.974449545145035e-08
0,1,4.0.weight,0.9999999403953552,3.667640203353451e-06,1.7025740817189217e-08
0,1,5.bias,1.000000238418579,0.0,0.0
0,1,5.weight,1.0,0.0,0.0
0,2,0.0.bias,0.9999998211860657,0.0007797898570659023,1.7398269847035408e-06
0,2,0.0.weight,0.9999998807907104,0.00048328159148038047,1.4378456398844719e-06
0,2,1.0.bias,1.0,7.47137651789795e-05,5.201436579227448e-07
0,2,1.0.weight,1.000000238418579,6.034131452002942e-05,2.6973430067300797e-07
0,2,3.0.bias,1.0,1.8880627770849402e-05,1.1204974725842476e-07
0,2,3.0.weight,1.0000003576278687,1.1911352256936451e-05,3.67872416973114e-08
0,2,4.0.bias,1.0,7.819322585361448e-06,7.636845111846924e-08
0,2,4.0.weight,1.0000003576278687,4.665281907483458e-06,1.367880031466484e-08
0,2,5.bias,1.0,0.0,0.0
0,2,5.weight,0.9999998211860657,0.0,0.0
1,0,0.0.bias,0.9999999403953552,0.00021448177813305298,9.455252438783646e-07
1,0,0.0.weight,1.0,0.00014746125423802323,6.092013791203499e-07
1,0,1.0.bias,0.9999999403953552,0.00011289075883475866,3.457535058259964e-07
1,0,1.0.weight,1.0000001192092896,3.7804687548736375e-05,1.6595004126429558e-07
1,0,3.0.bias,0.9999998807907104,2.3959775081707487e-05,8.416827768087387e-08
1,0,3.0.weight,1.000000238418579,8.863228535385484e-06,2.8194335754960775e-08
1,0,4.0.bias,0.9999999403953552,8.943652819998426e-06,7.310882210731506e-08
1,0,4.0.weight,0.9999998807907104,3.4360142842736437e-06,1.2121745385229588e-08
1,0,5.bias,0.9999998807907104,0.0,0.0
1,0,5.weight,1.0000001192092896,0.0,0.0
1,1,0.0.bias,0.9999998807907104,0.00028333536730201927,1.8780119717121124e-06
1,1,0.0.weight,0.9999998807907104,0.00018911358687319875,7.450580596923828e-07
1,1,1.0.bias,1.0,6.682418176695805e-05,6.09084963798523e-07
1,1,1.0.weight,1.0000001192092896,4.012811432773476e-05,2.448214218020439e-07
1,1,3.0.bias,0.9999999403953552,1.1795777278184406e-05,9.359791874885559e-08
