dataset,model,contrast,metric,n_pairs,paired_model_seeds,minimum_pairs,confirmatory_complete,analysis_status,mean_difference,ci95_low,ci95_high,cohen_dz,sign_flip_p_raw,equivalence_margin,tost_ci90_low,tost_ci90_high,equivalent_within_margin,sign_flip_p_holm
FashionMNIST,lenet_classic,fixedpred_vs_bp,test_macro_f1,10,"0,1,2,3,4,5,6,7,8,9",10,True,confirmatory,0.001479238894903856,-0.00046680782310554777,0.0034252856129132598,0.5437607171930804,0.140625,0.01,-9.771758933546453e-05,0.0030561953791431763,True,0.28125
FashionMNIST,lenet_classic,strict_vs_bp,test_macro_f1,10,"0,1,2,3,4,5,6,7,8,9",10,True,confirmatory,-0.000317140534565008,-0.0015746899633605784,0.0009404088942305624,-0.1804053712522441,0.564453125,0.01,-0.0013361811915226821,0.0007019001223926662,True,0.564453125
