model_seed,order,batch_count,median_d,mean_d
9,ABC,3,-0.17837536897573375,-0.18047179017719503
9,BCA,3,-0.15918862166029576,-0.15860516344791087
9,CAB,3,-0.2183073922953704,-0.21781245089580337
9,ACB,3,-0.2269074108900303,-0.23247295450042973
9,CBA,3,-0.22148502306541992,-0.20553058232263913
9,BAC,3,-0.14904875336957576,-0.16292948638327573
