candidate_id,method,depth,width,batch_size,model_seed_count,device_improvement_seed_count,device_nonregression_seed_count,median_device_time_ratio_to_baseline,minimum_device_time_ratio_to_baseline,maximum_device_time_ratio_to_baseline,median_host_time_ratio_to_baseline,minimum_host_time_ratio_to_baseline,maximum_host_time_ratio_to_baseline,median_peak_allocated_ratio_to_baseline,minimum_peak_allocated_ratio_to_baseline,maximum_peak_allocated_ratio_to_baseline,median_peak_reserved_ratio_to_baseline,minimum_peak_reserved_ratio_to_baseline,maximum_peak_reserved_ratio_to_baseline,median_saved_tensor_bytes_ratio_to_baseline,minimum_saved_tensor_bytes_ratio_to_baseline,maximum_saved_tensor_bytes_ratio_to_baseline,median_state_vjp_calls_ratio_to_baseline,minimum_state_vjp_calls_ratio_to_baseline,maximum_state_vjp_calls_ratio_to_baseline,median_graph_span_ratio_to_baseline,minimum_graph_span_ratio_to_baseline,maximum_graph_span_ratio_to_baseline,median_dependency_radius_ratio_to_baseline,minimum_dependency_radius_ratio_to_baseline,maximum_dependency_radius_ratio_to_baseline,median_device_time_reduction,minimum_device_time_reduction,maximum_device_time_reduction,maximum_seed_device_time_ratio,method_device_reduction_threshold,timing_threshold_passed,seed_regression_limit_passed,allocated_memory_limit_passed,reserved_memory_limit_passed,pareto_admissible,configuration_qualified
composite_vjp,fixedpred,4,64,64,3,0,0,1.2090984182459779,1.1892429892296774,1.2112227642690747,1.2092959764474456,1.1892694029226132,1.2112812779553512,1.0020692535742524,1.0020692535742524,1.0020692535742524,1.0,1.0,1.0,5.101599632033526,5.101599632033526,5.101599632033526,0.25,0.25,0.25,4.0,4.0,4.0,1.0,1.0,1.0,-0.20909841824597786,-0.21122276426907471,-0.18924298922967742,1.2112227642690747,0.15,False,False,True,True,True,False
composite_vjp,fixedpred,4,64,256,3,0,0,1.2167562446340197,1.1892733679591263,1.2315604168785304,1.2167582558105918,1.189268625389986,1.231511724228134,1.0049264738501453,1.0049264738501453,1.0049264738501453,1.0090361445783131,1.0090361445783131,1.0090361445783131,4.320096816373466,4.320096816373466,4.320096816373466,0.25,0.25,0.25,4.0,4.0,4.0,1.0,1.0,1.0,-0.21675624463401966,-0.23156041687853035,-0.1892733679591263,1.2315604168785304,0.15,False,False,True,True,True,False
composite_vjp,fixedpred,4,256,64,3,0,0,1.2113471506503772,1.1922964682657624,1.2290961226084511,1.2117580395005831,1.1923526306699017,1.2293077757276671,1.0008395611625132,1.0008395611625132,1.0008395611625132,1.0016528925619834,1.0016528925619834,1.0016528925619834,5.74995982803118,5.74995982803118,5.74995982803118,0.25,0.25,0.25,4.0,4.0,4.0,1.0,1.0,1.0,-0.21134715065037724,-0.22909612260845114,-0.1922964682657624,1.2290961226084511,0.15,False,False,True,True,True,False
composite_vjp,fixedpred,4,256,256,3,0,0,1.209297689245219,1.201212316187031,1.222649303997302,1.2093546080369142,1.2013563246796783,1.222996586500361,1.0035668655830299,1.0035668655830299,1.0035668655830299,1.006779661016949,1.0056497175141244,1.006779661016949,4.70419813058752,4.70419813058752,4.70419813058752,0.25,0.25,0.25,4.0,4.0,4.0,1.0,1.0,1.0,-0.20929768924521897,-0.2226493039973021,-0.20121231618703095,1.222649303997302,0.15,False,False,True,True,True,False
composite_vjp,fixedpred,8,64,64,3,0,0,1.1360248743283747,1.1151630085750248,1.1467694847044017,1.1359749463412225,1.1151610260495832,1.1468353029042946,1.0009483714005118,1.0009483714005118,1.0009483714005118,1.0,1.0,1.0,4.877289631798237,4.877289631798237,4.877289631798237,0.125,0.125,0.125,8.0,8.0,8.0,1.0,1.0,1.0,-0.13602487432837473,-0.14676948470440165,-0.11516300857502482,1.1467694847044017,0.15,False,False,True,True,True,False
composite_vjp,fixedpred,8,64,256,3,0,0,1.1625726308495474,1.1515968471896234,1.1678891023395213,1.162594868874933,1.1516151423873155,1.1683349910533973,1.0022123767510156,1.0022123767510156,1.0022123767510156,1.0075187969924813,1.0075187969924813,1.0075187969924813,4.25765119611366,4.25765119611366,4.25765119611366,0.125,0.125,0.125,8.0,8.0,8.0,1.0,1.0,1.0,-0.16257263084954743,-0.16788910233952126,-0.1515968471896234,1.1678891023395213,0.15,False,False,True,True,True,False
composite_vjp,fixedpred,8,256,64,3,0,0,1.1589270016269586,1.1549331270333711,1.1680609313144745,1.1587999923875099,1.1551357442375498,1.168152676795326,1.0,1.0,1.0,1.0009861932938855,1.0009861932938855,1.0009861932938855,5.302896708600731,5.302896708600731,5.302896708600731,0.125,0.125,0.125,8.0,8.0,8.0,1.0,1.0,1.0,-0.1589270016269586,-0.16806093131447453,-0.15493312703337114,1.1680609313144745,0.15,False,False,True,True,True,False
composite_vjp,fixedpred,8,256,256,3,0,0,1.1834939558858646,1.1521100858917734,1.1869352913398221,1.18377428119906,1.1524116774180428,1.186973256376929,1.0017222951743516,1.0017222951743516,1.0017222951743516,1.0083565459610029,1.0055710306406684,1.0083565459610029,4.5455820579973,4.5455820579973,4.5455820579973,0.125,0.125,0.125,8.0,8.0,8.0,1.0,1.0,1.0,-0.1834939558858646,-0.18693529133982212,-0.15211008589177344,1.1869352913398221,0.15,False,False,True,True,True,False
composite_vjp,fixedpred,16,64,64,3,0,0,1.1085433791625223,1.0884762554556358,1.133766630638271,1.1084509341944166,1.0884786363036911,1.1337240220450835,1.0011585089721664,1.0011585089721664,1.0011585089721664,1.0,1.0,1.0,4.685549153149532,4.685549153149532,4.685549153149532,0.0625,0.0625,0.0625,16.0,16.0,16.0,1.0,1.0,1.0,-0.10854337916252232,-0.133766630638271,-0.08847625545563575,1.133766630638271,0.15,False,False,True,True,True,False
composite_vjp,fixedpred,16,64,256,3,0,0,1.128787637425926,1.1060460604340847,1.137223907028114,1.128840707744921,1.106058191397969,1.137356642859054,1.0026078063666088,1.0026078063666088,1.0026078063666088,1.0,1.0,1.0,4.2037444478393775,4.2037444478393775,4.2037444478393775,0.0625,0.0625,0.0625,16.0,16.0,16.0,1.0,1.0,1.0,-0.12878763742592603,-0.13722390702811404,-0.10604606043408471,1.137223907028114,0.15,False,False,True,True,True,False
