candidate_id,method,depth,width,batch_size,median_device_time_ratio_to_baseline,median_peak_allocated_ratio_to_baseline,median_peak_reserved_ratio_to_baseline,median_saved_tensor_bytes_ratio_to_baseline,median_state_vjp_calls_ratio_to_baseline,median_graph_span_ratio_to_baseline,median_dependency_radius_ratio_to_baseline,dominated_by_count,dominated_by_json,pareto_admissible
isolated_layer_vjp,fixedpred,32,256,256,1.6907951815702116,0.9999134248365935,0.994069053166702,4.418840684541427,1.0,1.0,1.0,0,[],True
composite_vjp,fixedpred,32,256,256,1.0928760546598435,1.0018440291732131,0.9934335945774201,4.418840684541427,0.03125,32.0,1.0,0,[],True
stage2_baseline,strict,4,64,64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,strict,4,64,64,1.257171834407348,0.7484816567264739,0.7509727626459144,1.1223511783663689,1.0,1.0,1.0,0,[],True
composite_vjp,strict,4,64,64,1.0986259353595695,0.7490729887761919,0.7509727626459144,1.1223511783663689,0.3333333333333333,3.0,1.0,0,[],True
stage2_baseline,strict,4,64,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,strict,4,64,256,1.2611191153464434,0.5582383955587444,0.5665529010238908,1.1340376925896225,1.0,1.0,1.0,0,[],True
composite_vjp,strict,4,64,256,1.0756147114032433,0.5562524508586781,0.5648464163822525,1.1340376925896225,0.3333333333333333,3.0,1.0,0,[],True
stage2_baseline,strict,4,256,64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,strict,4,256,64,1.2681138900429516,0.7186163574966096,0.7269461077844311,1.0794094425724567,1.0,1.0,1.0,0,[],True
composite_vjp,strict,4,256,64,1.111047243661328,0.7164528186145533,0.7245508982035929,1.0794094425724567,0.3333333333333333,3.0,1.0,0,[],True
stage2_baseline,strict,4,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,strict,4,256,256,1.2662549130307408,0.46243371945673173,0.4836244541484716,1.1276879206413273,1.0,1.0,1.0,0,[],True
composite_vjp,strict,4,256,256,1.1232426026944016,0.4628057499182398,0.4828150572831424,1.1276879206413273,0.3333333333333333,3.0,1.0,0,[],True
stage2_baseline,strict,8,64,64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,strict,8,64,64,1.3193982302219527,0.7776599259566753,0.7793103448275862,1.0515027526677088,1.0,1.0,1.0,0,[],True
composite_vjp,strict,8,64,64,0.9930908222410861,0.7777920856666017,0.7793103448275862,1.0515027526677088,0.14285714285714285,7.0,1.0,0,[],True
stage2_baseline,strict,8,64,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,strict,8,64,256,1.2974390933682594,0.602081227329488,0.6085626911314985,1.0590308762621083,1.0,1.0,1.0,0,[],True
composite_vjp,strict,8,64,256,0.9925443635326723,0.602727270983471,0.6100917431192661,1.0590308762621083,0.14285714285714285,7.0,1.0,0,[],True
stage2_baseline,strict,8,256,64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,strict,8,256,64,1.295366815319619,0.8093362359577255,0.8146067415730337,1.0287906476596314,1.0,1.0,1.0,0,[],True
composite_vjp,strict,8,256,64,0.9928051676175498,0.8093362359577255,0.8146067415730337,1.0287906476596314,0.14285714285714285,7.0,1.0,0,[],True
stage2_baseline,strict,8,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,strict,8,256,256,1.3071583681744086,0.5899824016680416,0.6142735768903993,1.0491572661107333,1.0,1.0,1.0,0,[],True
composite_vjp,strict,8,256,256,0.9945030789104805,0.5907166461787225,0.6083262531860663,1.0491572661107333,0.14285714285714285,7.0,1.0,0,[],True
stage2_baseline,strict,16,64,64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,strict,16,64,64,1.3321278095890388,0.8196935075427703,0.8212290502793296,1.0238646828141278,1.0,1.0,1.0,0,[],True
composite_vjp,strict,16,64,64,0.9448465412354667,0.8201469394036409,0.8212290502793296,1.0238646828141278,0.06666666666666667,15.0,1.0,0,[],True
stage2_baseline,strict,16,64,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,strict,16,64,256,1.3118147043750061,0.6710245497250632,0.6772554002541296,1.0278553970445365,1.0,1.0,1.0,0,[],True
composite_vjp,strict,16,64,256,0.9599518397544373,0.6722082192719291,0.6772554002541296,1.0278553970445365,0.06666666666666667,15.0,1.0,0,[],True
stage2_baseline,strict,16,256,64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,strict,16,256,64,1.3195566735121278,0.884843364051197,0.8892699657030867,1.0126558917221122,1.0,1.0,1.0,0,[],True
composite_vjp,strict,16,256,64,0.956504100882106,0.884843364051197,0.8892156862745098,1.0126558917221122,0.06666666666666667,15.0,1.0,0,[],True
stage2_baseline,strict,16,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,strict,16,256,256,1.325550370077397,0.7221344082980021,0.7383040935672515,1.0220432171165115,1.0,1.0,1.0,0,[],True
composite_vjp,strict,16,256,256,0.9502201332195556,0.7232425854873956,0.7304881613563285,1.0220432171165115,0.06666666666666667,15.0,1.0,0,[],True
stage2_baseline,strict,32,64,64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,strict,32,64,64,1.3384172030018264,0.8691631462502455,0.8701825557809331,1.0115106724665615,1.0,1.0,1.0,0,[],True
composite_vjp,strict,32,64,64,0.9374974848016866,0.8699946857249399,0.8701825557809331,1.0115106724665615,0.03225806451612903,31.0,1.0,0,[],True
stage2_baseline,strict,32,64,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,strict,32,64,256,1.3443307982137105,0.755684613955031,0.7592417061611374,1.0135467428076794,1.0,1.0,1.0,0,[],True
composite_vjp,strict,32,64,256,0.9280613046735386,0.7575284698845894,0.7592417061611374,1.0135467428076794,0.03225806451612903,31.0,1.0,0,[],True
stage2_baseline,strict,32,256,64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,strict,32,256,64,1.3258997600925702,0.9357400934080713,0.9386519944979367,1.0059674151225053,1.0,1.0,1.0,0,[],True
composite_vjp,strict,32,256,64,0.9188866290949271,0.9357400934080713,0.9394773039889959,1.0059674151225053,0.03225806451612903,31.0,1.0,0,[],True
stage2_baseline,strict,32,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,strict,32,256,256,1.3249996412496885,0.8310453341399126,0.8433104940497655,1.010481022136688,1.0,1.0,1.0,0,[],True
composite_vjp,strict,32,256,256,0.9289918519883806,0.8324616818617078,0.8341146772448612,1.010481022136688,0.03225806451612903,31.0,1.0,0,[],True
