candidate_id,method,configuration_count,qualified_configuration_count,pareto_admissible_configuration_count,status,leave_one_seed_out_device_time_reduction_json,median_configuration_median_device_time_ratio_to_baseline,minimum_configuration_median_device_time_ratio_to_baseline,maximum_configuration_median_device_time_ratio_to_baseline,median_configuration_median_host_time_ratio_to_baseline,minimum_configuration_median_host_time_ratio_to_baseline,maximum_configuration_median_host_time_ratio_to_baseline,median_configuration_median_peak_allocated_ratio_to_baseline,minimum_configuration_median_peak_allocated_ratio_to_baseline,maximum_configuration_median_peak_allocated_ratio_to_baseline,median_configuration_median_peak_reserved_ratio_to_baseline,minimum_configuration_median_peak_reserved_ratio_to_baseline,maximum_configuration_median_peak_reserved_ratio_to_baseline,median_configuration_median_saved_tensor_bytes_ratio_to_baseline,minimum_configuration_median_saved_tensor_bytes_ratio_to_baseline,maximum_configuration_median_saved_tensor_bytes_ratio_to_baseline,median_configuration_median_state_vjp_calls_ratio_to_baseline,minimum_configuration_median_state_vjp_calls_ratio_to_baseline,maximum_configuration_median_state_vjp_calls_ratio_to_baseline,median_configuration_median_graph_span_ratio_to_baseline,minimum_configuration_median_graph_span_ratio_to_baseline,maximum_configuration_median_graph_span_ratio_to_baseline,median_configuration_median_dependency_radius_ratio_to_baseline,minimum_configuration_median_dependency_radius_ratio_to_baseline,maximum_configuration_median_dependency_radius_ratio_to_baseline,median_configuration_device_time_reduction,minimum_configuration_device_time_reduction,maximum_configuration_device_time_reduction,minimum_device_improvement_seed_count
composite_vjp,fixedpred,16,0,16,reject_or_revise,"{""70"":-0.13720147587170395,""71"":-0.12361446259139974,""72"":-0.1261909716532874}",1.1324062558771504,1.0705948258679503,1.2167562446340197,1.1324078270430717,1.0706143667322512,1.2167582558105918,1.001760685408357,1.0,1.0049264738501453,1.0001464128843338,0.9934335945774201,1.0090361445783131,4.618325377601018,4.165651119513914,5.74995982803118,0.09375,0.03125,0.25,12.0,4.0,32.0,1.0,1.0,1.0,-0.13240625587715038,-0.21675624463401966,-0.0705948258679503,0
composite_vjp,strict,16,0,16,reject_or_revise,"{""70"":0.03344679248060034,""71"":0.03071705304836303,""72"":0.024440297481388762}",0.9762481016435548,0.9188866290949271,1.1232426026944016,0.9762508976015576,0.9188731251198572,1.1237939920397844,0.7533007293303906,0.4628057499182398,0.9357400934080713,0.7551072344035259,0.4828150572831424,0.9394773039889959,1.028323022352084,1.0059674151225053,1.1340376925896225,0.10476190476190475,0.03225806451612903,0.3333333333333333,11.0,3.0,31.0,1.0,1.0,1.0,0.0237518983564452,-0.12324260269440157,0.08111337090507287,0
isolated_layer_vjp,fixedpred,16,0,14,reject_or_revise,"{""70"":-0.633276916697334,""71"":-0.6369041605021568,""72"":-0.6339012321395046}",1.6371548127114972,1.5618118096878553,1.6907951815702116,1.6372344505773462,1.5618017069466716,1.6908156799996386,0.9996859709522906,0.9987853997090467,1.0,1.0,0.994069053166702,1.0034818941504178,4.618325377601018,4.165651119513914,5.74995982803118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.6371548127114972,-0.6907951815702116,-0.5618118096878553,0
isolated_layer_vjp,strict,16,0,16,reject_or_revise,"{""70"":-0.30729467327615456,""71"":-0.32277605264191855,""72"":-0.3101890656662136}",1.3156064672984793,1.257171834407348,1.3443307982137105,1.315628356845123,1.2568338208728358,1.3443363256956258,0.7520831353407524,0.46243371945673173,0.9357400934080713,0.7551072344035259,0.4836244541484716,0.9386519944979367,1.028323022352084,1.0059674151225053,1.1340376925896225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.3156064672984794,-0.3443307982137105,-0.2571718344073479,0
