candidate_id,method,model_seed,metric,configuration_count,intercept_log2,beta_log2_depth,beta_log2_width,beta_log2_batch_size,multiplier_per_depth_doubling,multiplier_per_width_doubling,multiplier_per_batch_doubling,r_squared,maximum_absolute_log2_residual
composite_vjp,fixedpred,70,device_time_ratio_to_baseline,16,0.2841602714621491,-0.05619969489192257,0.005323276095624295,0.008363691978464982,0.9617943158518062,1.0036966295603893,1.0058141062007329,0.8776837601951899,0.04156600554648156
composite_vjp,fixedpred,70,peak_allocated_ratio_to_baseline,16,0.00014590514460967208,-0.0005347091202279792,-0.0007674581590518929,0.0013750557045202193,0.9996294365564934,0.9994681800072664,1.0009535703440822,0.806762139600578,0.0017492150150461246
composite_vjp,fixedpred,70,peak_reserved_ratio_to_baseline,16,0.0021443145150994935,-0.003158380300854483,-0.000538354186922306,0.0021313308352993825,0.9978131721989306,0.9996269109282355,1.0014784177428973,0.5790062340533851,0.008600786399097933
composite_vjp,fixedpred,70,saved_tensor_bytes_ratio_to_baseline,16,2.6714128842916662,-0.042998085918559775,0.05780295271662662,-0.099269584619392,0.9706357575501264,1.040879421781418,0.9335054920823733,0.9538372578359195,0.07132905026360481
composite_vjp,fixedpred,70,state_vjp_calls_ratio_to_baseline,16,-3.559350531928628e-15,-0.9999999999999993,-1.1102230246251565e-16,0.0,0.5000000000000002,0.9999999999999999,1.0,1.0,3.1086244689504383e-15
composite_vjp,fixedpred,70,graph_span_ratio_to_baseline,16,3.559350531928628e-15,0.9999999999999993,1.1102230246251565e-16,0.0,1.9999999999999991,1.0,1.0,1.0,3.1086244689504383e-15
composite_vjp,fixedpred,70,dependency_radius_ratio_to_baseline,16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
composite_vjp,fixedpred,71,device_time_ratio_to_baseline,16,0.23113819676617794,-0.048885806593270076,0.005127366224285515,0.01407035865851878,0.9666826097087567,1.003560342457647,1.0098005432633985,0.8949006556901338,0.03534719463525712
composite_vjp,fixedpred,71,peak_allocated_ratio_to_baseline,16,0.00014590514460967918,-0.0005347091202279829,-0.0007674581590518929,0.0013750557045202195,0.9996294365564934,0.9994681800072664,1.0009535703440822,0.8067621396005777,0.001749215015046123
composite_vjp,fixedpred,71,peak_reserved_ratio_to_baseline,16,0.0006317145278728067,-0.0034215062160449037,-0.000247312938841475,0.0021973728276039385,0.9976312026520037,0.999828590426026,1.0015242632902495,0.5693147486497556,0.00862922275900224
composite_vjp,fixedpred,71,saved_tensor_bytes_ratio_to_baseline,16,2.6714128842916645,-0.04299808591855986,0.057802952716626825,-0.09926958461939184,0.9706357575501263,1.040879421781418,0.9335054920823734,0.9538372578359193,0.07132905026360437
