dataset,model,method,metric,n,mean,std,ci_low,ci_high
FashionMNIST,lenet_classic,strict,total_training_time_sec_difference,10,-33.87056676380562,0.932863751531109,-34.53789729080959,-33.20323623680165
FashionMNIST,lenet_classic,strict,mean_epoch_time_sec_difference,10,-3.387056676380562,0.0932863751531108,-3.453789729080959,-3.320323623680165
FashionMNIST,lenet_classic,strict,median_epoch_time_sec_difference,10,-3.387513099950593,0.10676883884716327,-3.463890926164267,-3.3111352737369186
FashionMNIST,lenet_classic,strict,peak_gpu_memory_allocated_bytes_difference,10,-713728.0,0.0,-713728.0,-713728.0
FashionMNIST,lenet_classic,strict,peak_gpu_memory_reserved_bytes_difference,10,-20971520.0,0.0,-20971520.0,-20971520.0
FashionMNIST,lenet_classic,strict,runtime_over_bp_difference,10,-1.3113191000524516,0.030422170495808868,-1.3330818098117831,-1.28955639029312
FashionMNIST,lenet_classic,strict,test_accuracy_ratio,10,1.0,0.0,1.0,1.0
FashionMNIST,lenet_classic,strict,test_macro_f1_ratio,10,1.0,0.0,1.0,1.0
FashionMNIST,lenet_classic,strict,total_training_time_sec_ratio,10,0.735642267153038,0.005866770256949941,0.731445432533882,0.7398391017721941
FashionMNIST,lenet_classic,strict,mean_epoch_time_sec_ratio,10,0.735642267153038,0.005866770256949935,0.731445432533882,0.7398391017721941
FashionMNIST,lenet_classic,strict,median_epoch_time_sec_ratio,10,0.7176429046487449,0.007167116797559417,0.7125158581515858,0.722769951145904
FashionMNIST,lenet_classic,strict,peak_gpu_memory_allocated_bytes_ratio,10,0.9954499758463567,0.0,0.9954499758463567,0.9954499758463567
FashionMNIST,lenet_classic,strict,peak_gpu_memory_reserved_bytes_ratio,10,0.888888888888889,1.1702778228589004e-16,0.8888888888888888,0.8888888888888891
FashionMNIST,lenet_classic,strict,runtime_over_bp_ratio,10,0.7380168525081383,0.005674304246309702,0.7339576997788617,0.7420760052374149
MNIST,lenet_classic,bp,test_accuracy_difference,10,0.0,0.0,0.0,0.0
MNIST,lenet_classic,bp,test_macro_f1_difference,10,0.0,0.0,0.0,0.0
MNIST,lenet_classic,bp,total_training_time_sec_difference,10,-0.18720885799448297,0.323722912397102,-0.4187862790044083,0.04436856301544234
MNIST,lenet_classic,bp,mean_epoch_time_sec_difference,10,-0.018720885799448306,0.03237229123971023,-0.04187862790044086,0.004436856301544247
MNIST,lenet_classic,bp,median_epoch_time_sec_difference,10,-0.017753260800054703,0.03285258785369366,-0.041254586400783125,0.0057480648006737155
MNIST,lenet_classic,bp,peak_gpu_memory_allocated_bytes_difference,10,0.0,0.0,0.0,0.0
MNIST,lenet_classic,bp,peak_gpu_memory_reserved_bytes_difference,10,0.0,0.0,0.0,0.0
MNIST,lenet_classic,bp,runtime_over_bp_difference,10,0.0,0.0,0.0,0.0
MNIST,lenet_classic,bp,test_accuracy_ratio,10,1.0,0.0,1.0,1.0
MNIST,lenet_classic,bp,test_macro_f1_ratio,10,1.0,0.0,1.0,1.0
MNIST,lenet_classic,bp,total_training_time_sec_ratio,10,0.992710267948322,0.012727864465020678,0.9836053022047858,1.001815233691858
MNIST,lenet_classic,bp,mean_epoch_time_sec_ratio,10,0.992710267948322,0.012727864465020687,0.9836053022047858,1.001815233691858
MNIST,lenet_classic,bp,median_epoch_time_sec_ratio,10,0.9898902484183922,0.018960762742743668,0.9763265358475641,1.0034539609892204
MNIST,lenet_classic,bp,peak_gpu_memory_allocated_bytes_ratio,10,1.0,0.0,1.0,1.0
MNIST,lenet_classic,bp,peak_gpu_memory_reserved_bytes_ratio,10,1.0,0.0,1.0,1.0
MNIST,lenet_classic,bp,runtime_over_bp_ratio,10,1.0,0.0,1.0,1.0
MNIST,lenet_classic,exact,test_accuracy_difference,10,0.0,0.0,0.0,0.0
MNIST,lenet_classic,exact,test_macro_f1_difference,10,0.0,0.0,0.0,0.0
MNIST,lenet_classic,exact,total_training_time_sec_difference,10,-4.294374489601614,0.426092825004618,-4.599182934560749,-3.989566044642479
MNIST,lenet_classic,exact,mean_epoch_time_sec_difference,10,-0.42943744896016145,0.042609282500461775,-0.45991829345607493,-0.39895660446424797
MNIST,lenet_classic,exact,median_epoch_time_sec_difference,10,-0.4176044701505816,0.03941233776727341,-0.44579835815354574,-0.3894105821476175
MNIST,lenet_classic,exact,peak_gpu_memory_allocated_bytes_difference,10,-31267328.0,0.0,-31267328.0,-31267328.0
MNIST,lenet_classic,exact,peak_gpu_memory_reserved_bytes_difference,10,-46137344.0,0.0,-46137344.0,-46137344.0
MNIST,lenet_classic,exact,runtime_over_bp_difference,10,-0.16134594860974819,0.014230227810871222,-0.17152564034804224,-0.15116625687145413
MNIST,lenet_classic,exact,test_accuracy_ratio,10,1.0,0.0,1.0,1.0
MNIST,lenet_classic,exact,test_macro_f1_ratio,10,1.0,0.0,1.0,1.0
MNIST,lenet_classic,exact,total_training_time_sec_ratio,10,0.8548118856977791,0.01273983404481862,0.8456983574326727,0.8639254139628855
MNIST,lenet_classic,exact,mean_epoch_time_sec_ratio,10,0.8548118856977791,0.012739834044818614,0.8456983574326727,0.8639254139628855
MNIST,lenet_classic,exact,median_epoch_time_sec_ratio,10,0.8040270618959589,0.01586628385583782,0.792677006167314,0.8153771176246037
MNIST,lenet_classic,exact,peak_gpu_memory_allocated_bytes_ratio,10,0.8104177273348153,1.1702778228589004e-16,0.8104177273348152,0.8104177273348154
MNIST,lenet_classic,exact,peak_gpu_memory_reserved_bytes_ratio,10,0.7528089887640449,0.0,0.7528089887640449,0.7528089887640449
MNIST,lenet_classic,exact,runtime_over_bp_ratio,10,0.8611286132146525,0.010962702720604416,0.853286368115171,0.868970858314134
MNIST,lenet_classic,fixedpred,test_accuracy_difference,10,0.0,0.0,0.0,0.0
MNIST,lenet_classic,fixedpred,test_macro_f1_difference,10,0.0,0.0,0.0,0.0
MNIST,lenet_classic,fixedpred,total_training_time_sec_difference,10,-21.425932475894662,0.45721607383344587,-21.75300515184029,-21.098859799949032
MNIST,lenet_classic,fixedpred,mean_epoch_time_sec_difference,10,-2.142593247589466,0.045721607383344624,-2.1753005151840292,-2.109885979994903
MNIST,lenet_classic,fixedpred,median_epoch_time_sec_difference,10,-2.147634998000285,0.05120569694518877,-2.184265346935972,-2.1110046490645984
MNIST,lenet_classic,fixedpred,peak_gpu_memory_allocated_bytes_difference,10,2258944.0,0.0,2258944.0,2258944.0
MNIST,lenet_classic,fixedpred,peak_gpu_memory_reserved_bytes_difference,10,20971520.0,0.0,20971520.0,20971520.0
MNIST,lenet_classic,fixedpred,runtime_over_bp_difference,10,-0.8281330594100685,0.031213004546513674,-0.8504614977690625,-0.8058046210510745
MNIST,lenet_classic,fixedpred,test_accuracy_ratio,10,1.0,0.0,1.0,1.0
MNIST,lenet_classic,fixedpred,test_macro_f1_ratio,10,1.0,0.0,1.0,1.0
MNIST,lenet_classic,fixedpred,total_training_time_sec_ratio,10,0.6867669851314717,0.005740089893096504,0.6826607721854513,0.6908731980774921
MNIST,lenet_classic,fixedpred,mean_epoch_time_sec_ratio,10,0.6867669851314718,0.005740089893096502,0.6826607721854514,0.6908731980774923
MNIST,lenet_classic,fixedpred,median_epoch_time_sec_ratio,10,0.6424323340624849,0.007028166940119447,0.6374046863054316,0.6474599818195382
MNIST,lenet_classic,fixedpred,peak_gpu_memory_allocated_bytes_ratio,10,1.0140417433148952,2.340555645717801e-16,1.014041743314895,1.0140417433148954
MNIST,lenet_classic,fixedpred,peak_gpu_memory_reserved_bytes_ratio,10,1.1204819277108433,0.0,1.1204819277108433,1.1204819277108433
MNIST,lenet_classic,fixedpred,runtime_over_bp_ratio,10,0.6919014310106507,0.00978841583583492,0.6848992201438006,0.6989036418775009
MNIST,lenet_classic,strict,test_accuracy_difference,10,0.0,0.0,0.0,0.0
MNIST,lenet_classic,strict,test_macro_f1_difference,10,0.0,0.0,0.0,0.0
MNIST,lenet_classic,strict,total_training_time_sec_difference,10,-34.12221612810099,1.759075567727873,-35.38058298363048,-32.86384927257149
MNIST,lenet_classic,strict,mean_epoch_time_sec_difference,10,-3.412221612810099,0.17590755677278727,-3.5380582983630484,-3.2863849272571493
