dataset,model,model_seed,method,quality_contrast_reference,quality_contrast_candidate,quality_difference_in_differences,runtime_over_bp_reference,runtime_over_bp_candidate,runtime_slowdown_change,runtime_slowdown_ratio
FashionMNIST,lenet_classic,0,exact,0.0,0.0,0.0,1.1623547853382858,0.997721904263786,-0.1646328810744998,0.8583626246038245
FashionMNIST,lenet_classic,0,fixedpred,5.859108968664373e-05,5.859108968664373e-05,0.0,2.6997638784318148,1.8482492519723557,-0.8515146264594591,0.6845966296304142
FashionMNIST,lenet_classic,0,strict,0.0003238682434124618,0.0003238682434124618,0.0,5.007710617856692,3.661840164683688,-1.3458704531730046,0.7312403699259604
FashionMNIST,lenet_classic,1,exact,0.0,0.0,0.0,1.1532149963762806,0.9927682288992609,-0.1604467674770197,0.8608700303228907
FashionMNIST,lenet_classic,1,fixedpred,0.002103257392088609,0.002103257392088609,0.0,2.694564560360346,1.837455184999231,-0.8571093753611148,0.6819117315019935
FashionMNIST,lenet_classic,1,strict,-0.00137137461756065,-0.00137137461756065,0.0,4.966401481695232,3.6767100336049263,-1.2896914480903061,0.7403167156655078
FashionMNIST,lenet_classic,2,exact,0.0,0.0,0.0,1.1731768763644763,0.9999784633427716,-0.1731984130217047,0.8523680303362062
FashionMNIST,lenet_classic,2,fixedpred,-0.0037123408095718347,-0.0037123408095718347,0.0,2.6770198139926906,1.8747039778657162,-0.8023158361269744,0.7002951446480533
FashionMNIST,lenet_classic,2,strict,-0.001743240876059149,-0.001743240876059149,0.0,5.085955086328104,3.7660478499784724,-1.3199072363496316,0.7404799661133928
FashionMNIST,lenet_classic,3,exact,0.0,0.0,0.0,1.1490760522943844,0.9919634116720175,-0.15711264062236685,0.8632704595064384
FashionMNIST,lenet_classic,3,fixedpred,0.0001644789136816538,0.0001644789136816538,0.0,2.6876384945264924,1.8287964411320883,-0.8588420533944041,0.6804473313120503
FashionMNIST,lenet_classic,3,strict,-0.002457650686265911,-0.002457650686265911,0.0,4.968175798468298,3.6258947421288314,-1.3422810563394667,0.7298241626728877
FashionMNIST,lenet_classic,4,exact,0.0,0.0,0.0,1.154908106102997,0.9925682795373897,-0.16233982656560741,0.8594348539873097
FashionMNIST,lenet_classic,4,fixedpred,0.00462695382294076,0.00462695382294076,0.0,2.686115292988551,1.8728191706492103,-0.8132961223393405,0.697222183849572
FashionMNIST,lenet_classic,4,strict,0.000905373930146891,0.000905373930146891,0.0,4.971529038771886,3.7045673407776927,-1.266961697994193,0.7451565327058474
FashionMNIST,lenet_classic,5,exact,0.0,0.0,0.0,1.153904294991515,1.003143418649255,-0.1507608763422601,0.8693471573018379
FashionMNIST,lenet_classic,5,fixedpred,-2.507958819286671e-06,-2.507958819286671e-06,0.0,2.748422825856049,1.8541310385673644,-0.8942917872886846,0.674616373115683
FashionMNIST,lenet_classic,5,strict,-0.0008229916087383327,-0.0008229916087383327,0.0,5.037003831790437,3.679565732972818,-1.3574380988176187,0.7305068361770318
FashionMNIST,lenet_classic,6,exact,0.0,0.0,0.0,1.1676451305337716,0.9974756437762379,-0.17016948675753374,0.8542626673912961
FashionMNIST,lenet_classic,6,fixedpred,0.003376620805722319,0.003376620805722319,0.0,2.6861032627056063,1.8882538357344034,-0.7978494269712029,0.7029714240518212
FashionMNIST,lenet_classic,6,strict,0.0012049088851392442,0.0012049088851392442,0.0,5.010189934395375,3.6949979480147497,-1.3151919863806252,0.7374965812470059
FashionMNIST,lenet_classic,7,exact,0.0,0.0,0.0,1.1594480956783526,0.9984657513733687,-0.16098234430498393,0.8611560578649285
FashionMNIST,lenet_classic,7,fixedpred,0.005305377365920738,0.005305377365920738,0.0,2.6955160659903035,1.8303955042926727,-0.8651205616976307,0.6790519735300502
FashionMNIST,lenet_classic,7,strict,0.0021286146034223963,0.0021286146034223963,0.0,4.997980226924627,3.7058902791423693,-1.2920899477822574,0.7414775791185332
FashionMNIST,lenet_classic,8,exact,0.0,0.0,0.0,1.1758569190518828,1.0198589952240664,-0.1559979238278164,0.8673325629162426
FashionMNIST,lenet_classic,8,fixedpred,0.003043606947211175,0.003043606947211175,0.0,2.6937043881915006,1.8700953165646965,-0.8236090716268041,0.6942466756050545
FashionMNIST,lenet_classic,8,strict,0.0014959615695919748,0.0014959615695919748,0.0,5.005129270867027,3.727401271744636,-1.2777279991223907,0.7447162840409409
FashionMNIST,lenet_classic,9,exact,0.0,0.0,0.0,1.153790210934519,0.9955364520518727,-0.15825375888264637,0.8628400922603878
FashionMNIST,lenet_classic,9,fixedpred,-0.0001716486198222178,-0.0001716486198222178,0.0,2.691297490211245,1.8432754031497478,-0.8480220870614972,0.6849021372977484
FashionMNIST,lenet_classic,9,strict,-0.0028348747887390058,-0.0028348747887390058,0.0,5.0030590854061785,3.6970280089311562,-1.3060310764750223,0.7389534974142743
MNIST,lenet_classic,0,exact,0.0,0.0,0.0,1.1779664485165249,1.00251116783824,-0.17545528067828497,0.85105239550817
MNIST,lenet_classic,0,fixedpred,0.0004738926801082233,0.0004738926801082233,0.0,2.688743419934113,1.833694660347793,-0.8550487595863199,0.6819894552797184
MNIST,lenet_classic,0,strict,0.0004350940054935748,0.0004350940054935748,0.0,5.0103442348929965,3.7293108705991447,-1.2810333642938518,0.7443222852089703
MNIST,lenet_classic,1,exact,0.0,0.0,0.0,1.1407995058068374,0.993045364018785,-0.14775414178805246,0.8704819374167309
MNIST,lenet_classic,1,fixedpred,0.00040171706862424106,0.00040171706862424106,0.0,2.6745397973577583,1.87313508770421,-0.8014047096535484,0.7003579043971321
MNIST,lenet_classic,1,strict,-0.00012564151636407228,-0.00012564151636407228,0.0,4.984956406844998,3.7234644728465622,-1.2614919339984358,0.7469402275481803
MNIST,lenet_classic,2,exact,0.0,0.0,0.0,1.1664786301080032,0.988865638847991,-0.1776129912600123,0.8477357521384106
MNIST,lenet_classic,2,fixedpred,0.0007256372878927664,0.0007256372878927664,0.0,2.706553186168781,1.8436942132169043,-0.8628589729518765,0.6811963728031212
MNIST,lenet_classic,2,strict,-0.000767813833538189,-0.000767813833538189,0.0,5.014083942435708,3.6973796552197387,-1.3167042872159698,0.7373988344965062
MNIST,lenet_classic,3,exact,0.0,0.0,0.0,1.1503987461217893,0.9955919175599669,-0.15480682856182237,0.8654320259964596
MNIST,lenet_classic,3,fixedpred,0.0015693350381296156,0.0015693350381296156,0.0,2.6819859769238,1.8388842426846506,-0.8431017342391496,0.6856427507476474
MNIST,lenet_classic,3,strict,0.0013726047355167026,0.0013726047355167026,0.0,4.972939233505942,3.6794410650772953,-1.2934981684286466,0.7398926253283965
MNIST,lenet_classic,4,exact,0.0,0.0,0.0,1.1641597177657659,0.9910945874446242,-0.17306513032114168,0.8513390150165262
MNIST,lenet_classic,4,fixedpred,-0.003202039484285546,-0.003202039484285546,0.0,2.650519587920534,1.868024546341561,-0.7824950415789731,0.7047767369291997
