dataset,model,layer,metric,method,reference,target_value,n,n_missing,candidate_mean,candidate_median,candidate_std,candidate_min,candidate_max,mean_difference,median_difference,difference_ci_low,difference_ci_high,cohen_dz,rank_biserial,p_value,p_value_holm
FashionMNIST,lenet_classic,0,cka,fixedpred,bp_target,1,10,0,0.99203086244649941,0.99452159565089726,0.0083911252116150737,0.9731313707134992,0.99885092952461441,-0.0079691375535005712,-0.0054784043491027945,-0.013971786922642284,-0.0019664881843588587,-0.9497102417765878,-1,0.001953125,0.01953125
FashionMNIST,lenet_classic,0,rsa_spearman,fixedpred,bp_target,1,10,0,0.98547489958215428,0.98544910650637374,0.0085221121865167188,0.96591925455924399,0.99577971851080316,-0.01452510041784565,-0.014550893493626205,-0.020621452224077776,-0.0084287486116135218,-1.7044014558769331,-1,0.001953125,0.01953125
FashionMNIST,lenet_classic,1,cka,fixedpred,bp_target,1,10,0,0.99204639500303826,0.99347553078187056,0.0043707724706660333,0.9852804918742164,0.99745412565608838,-0.0079536049969616048,-0.0065244692181294917,-0.011080267268356271,-0.0048269427255669389,-1.8197252431558413,-1,0.001953125,0.01953125
FashionMNIST,lenet_classic,1,rsa_spearman,fixedpred,bp_target,1,10,0,0.98682369624896182,0.99001884787222316,0.0081078680983056543,0.97449212079112757,0.99663815616546203,-0.01317630375103811,-0.0099811521277767823,-0.018976323188003609,-0.0073762843140726111,-1.6251255683095824,-1,0.001953125,0.01953125
FashionMNIST,lenet_classic,3,cka,fixedpred,bp_target,1,10,0,0.9885992448864791,0.98844636549369413,0.0027896672583935713,0.98337300291464558,0.99368920400319405,-0.011400755113521,-0.01155363450630581,-0.0133963628522224,-0.0094051473748195998,-4.0867795538046066,-1,0.001953125,0.01953125
FashionMNIST,lenet_classic,3,rsa_spearman,fixedpred,bp_target,1,10,0,0.98323720532546621,0.98285354212002618,0.004734773559527311,0.9738932379201436,0.99146627674332399,-0.016762794674533777,-0.01714645787997382,-0.020149847638632635,-0.013375741710434921,-3.5403582586972258,-1,0.001953125,0.01953125
FashionMNIST,lenet_classic,4,cka,fixedpred,bp_target,1,10,0,0.99271710392034829,0.99307263173920424,0.0016830082318659422,0.99008666286321245,0.99453122365580582,-0.0072828960796518794,-0.0069273682607957077,-0.008486847641152406,-0.0060789445181513527,-4.3273086499270255,-1,0.001953125,0.01953125
FashionMNIST,lenet_classic,4,rsa_spearman,fixedpred,bp_target,1,10,0,0.99080956606615023,0.99073573766161438,0.0018380474793875494,0.98744414857816742,0.99282764317045358,-0.0091904339338497627,-0.0092642623383856759,-0.010505293891764108,-0.0078755739759354178,-5.0001069270049978,-1,0.001953125,0.01953125
FashionMNIST,lenet_classic,5,cka,fixedpred,bp_target,1,10,0,0.99386068754083223,0.99430342861573395,0.0014092138739775825,0.99089575016180598,0.99551817971672285,-0.0061393124591677343,-0.0056965713842659915,-0.0071474033359321797,-0.0051312215824032888,-4.3565512464330149,-1,0.001953125,0.01953125
FashionMNIST,lenet_classic,5,rsa_spearman,fixedpred,bp_target,1,10,0,0.99347482156784428,0.99356044804535815,0.0012247113990159751,0.99197193374529802,0.99540288299031221,-0.0065251784321557317,-0.0064395519546417979,-0.0074012841892844511,-0.0056490726750270124,-5.3279314925937236,-1,0.001953125,0.01953125
FashionMNIST,lenet_classic,0,cka,strict,bp_target,1,10,0,0.9786495949343188,0.98596202782215103,0.0140842547028418,0.95275040748707085,0.99242361220592401,-0.02135040506568121,-0.014037972177849023,-0.031425673933057847,-0.011275136198304572,-1.5159059187827175,-1,0.001953125,0.01953125
FashionMNIST,lenet_classic,0,rsa_spearman,strict,bp_target,1,10,0,0.94876957367841341,0.95068973367737042,0.03068186728035437,0.9027648897244156,0.98895149803432481,-0.051230426321586663,-0.049310266322629581,-0.07317891196920584,-0.029281940673967478,-1.6697297414616468,-1,0.001953125,0.01953125
FashionMNIST,lenet_classic,1,cka,strict,bp_target,1,10,0,0.97585183095173689,0.97356124870203031,0.006919285336257977,0.96697230257004718,0.9902941410506616,-0.024148169048263078,-0.026438751297969687,-0.029097927598059077,-0.019198410498467079,-3.4899802327450575,-1,0.001953125,0.01953125
FashionMNIST,lenet_classic,1,rsa_spearman,strict,bp_target,1,10,0,0.94113523101409702,0.94214219283568701,0.022660232150906994,0.90415484297593762,0.96920004826023298,-0.05886476898590294,-0.057857807164312935,-0.07507492254635327,-0.042654615425452611,-2.5977125297697725,-1,0.001953125,0.01953125
FashionMNIST,lenet_classic,3,cka,strict,bp_target,1,10,0,0.96090736978880265,0.95809756462475881,0.0074662936405269073,0.95261503918735879,0.97248161522724863,-0.03909263021119741,-0.041902435375241187,-0.044433694929085159,-0.033751565493309661,-5.2358816962412673,-1,0.001953125,0.01953125
FashionMNIST,lenet_classic,3,rsa_spearman,strict,bp_target,1,10,0,0.94017745500061201,0.93980319055390815,0.0092123031682582613,0.92662200882041457,0.95453181334597204,-0.05982254499938798,-0.060196809446091903,-0.066412629690859787,-0.053232460307916167,-6.4937664237442192,-1,0.001953125,0.01953125
FashionMNIST,lenet_classic,4,cka,strict,bp_target,1,10,0,0.97352477452526587,0.97398237582102487,0.0037719027693091066,0.96641724163746845,0.97918970861694643,-0.026475225474734087,-0.026017624178975074,-0.029173482169475899,-0.023776968779992275,-7.0190636116485878,-1,0.001953125,0.01953125
FashionMNIST,lenet_classic,4,rsa_spearman,strict,bp_target,1,10,0,0.96639183987175215,0.96557179017093442,0.0041187716005998383,0.96025542473768721,0.97188108805196438,-0.03360816012824791,-0.034428209829065581,-0.036554551836925651,-0.030661768419570166,-8.159753292305254,-1,0.001953125,0.01953125
FashionMNIST,lenet_classic,5,cka,strict,bp_target,1,10,0,0.973358271807788,0.9737738355564648,0.0048361201569088515,0.9664664959445658,0.98006220144729483,-0.026641728192211944,-0.026226164443535205,-0.030101280144646105,-0.023182176239777783,-5.5089053472237932,-1,0.001953125,0.01953125
FashionMNIST,lenet_classic,5,rsa_spearman,strict,bp_target,1,10,0,0.97182584450179443,0.97212197958919133,0.0065578548647537201,0.96273968367867435,0.98222549195162556,-0.028174155498205455,-0.027878020410808724,-0.032865362264176259,-0.023482948732234651,-4.2962456594811416,-1,0.001953125,0.01953125
