domain,dataset,model,checkpoint_label,metric,method,statistic,analysis_role,reference,target_value,n,n_missing,candidate_mean,candidate_median,candidate_std,candidate_min,candidate_max,mean_difference,median_difference,difference_ci_low,difference_ci_high,cohen_dz,rank_biserial,p_value,p_value_holm
gradient,FashionMNIST,lenet_classic,final,cosine,fixedpred,linear_slope,descriptive,zero_depth_trend,0,10,0,0.0043677541244347166,0.0035933393810924528,0.0029499102120137239,0.00096475111210097002,0.01096144554048375,0.0043677541244347166,0.0035933393810924528,0.0022575154822251711,0.0064779927666442621,,,,
gradient,FashionMNIST,lenet_classic,final,cosine,fixedpred,spearman_rho,confirmatory,zero_depth_trend,0,10,0,0.99999999999999978,0.99999999999999989,1.1702778228589004e-16,0.99999999999999989,0.99999999999999989,0.99999999999999978,0.99999999999999989,0.99999999999999967,0.99999999999999989,8544979495185812,1,0.001953125,0.0078125
gradient,FashionMNIST,lenet_classic,final,norm_ratio,fixedpred,linear_slope,descriptive,zero_depth_trend,0,10,0,1.040996585929405,1.0409981241716912,1.7405339704054346e-05,1.0409528255143885,1.041018645300511,1.040996585929405,1.0409981241716912,1.0409841348994466,1.0410090369593634,,,,
gradient,FashionMNIST,lenet_classic,final,norm_ratio,fixedpred,spearman_rho,confirmatory,zero_depth_trend,0,10,0,0.99999999999999978,0.99999999999999989,1.1702778228589004e-16,0.99999999999999989,0.99999999999999989,0.99999999999999978,0.99999999999999989,0.99999999999999967,0.99999999999999989,8544979495185812,1,0.001953125,0.0078125
gradient,FashionMNIST,lenet_classic,final,relative_l2,fixedpred,linear_slope,descriptive,zero_depth_trend,0,10,0,-1.0410007018207361,-1.0410019050692267,1.5390290226064827e-05,-1.0410205653509534,-1.0409634065828652,-1.0410007018207361,-1.0410019050692267,-1.0410117113711346,-1.0409896922703377,,,,
gradient,FashionMNIST,lenet_classic,final,relative_l2,fixedpred,spearman_rho,confirmatory,zero_depth_trend,0,10,0,-0.99999999999999978,-0.99999999999999989,1.1702778228589004e-16,-0.99999999999999989,-0.99999999999999989,-0.99999999999999978,-0.99999999999999989,-0.99999999999999989,-0.99999999999999967,-8544979495185812,-1,0.001953125,0.0078125
gradient,FashionMNIST,lenet_classic,final,sign_agreement,fixedpred,linear_slope,descriptive,zero_depth_trend,0,10,0,0.036063014248444665,0.03475812567925736,0.012279418399011552,0.017695405136705665,0.051905797393455397,0.036063014248444665,0.03475812567925736,0.027278847495191466,0.044847181001697864,,,,
gradient,FashionMNIST,lenet_classic,final,sign_agreement,fixedpred,spearman_rho,confirmatory,zero_depth_trend,0,10,0,0.96999999999999997,0.99999999999999989,0.048304589153964836,0.8999999999999998,0.99999999999999989,0.96999999999999997,0.99999999999999989,0.93544497855778175,1.0045550214422181,20.080907776862489,1,0.001953125,0.0078125
gradient,FashionMNIST,lenet_classic,final,cosine,strict,linear_slope,descriptive,zero_depth_trend,0,10,0,0.094587094418813245,0.086424940981798815,0.033370249810568402,0.052393458577704166,0.15246058222048836,0.094587094418813245,0.086424940981798815,0.070715455762267038,0.11845873307535945,,,,
gradient,FashionMNIST,lenet_classic,final,cosine,strict,spearman_rho,confirmatory,zero_depth_trend,0,10,0,0.53999999999999992,0.59999999999999998,0.17763883459298968,0.29999999999999999,0.69999999999999996,0.53999999999999992,0.59999999999999998,0.41292483290218429,0.66707516709781556,3.0398758314152463,1,0.001953125,0.0078125
