dataset,model,checkpoint_label,layer,metric,method,reference,target_value,n,n_missing,candidate_mean,candidate_median,candidate_std,candidate_min,candidate_max,mean_difference,median_difference,difference_ci_low,difference_ci_high,cohen_dz,rank_biserial,p_value,p_value_holm
FashionMNIST,lenet_classic,final,0,norm_ratio,strict,bp_target,1,10,0,0.00058361119573388195,0.00057758526061184009,5.824949067119972e-05,0.00049369574005653997,0.00066461644160227995,-0.99941638880426598,-0.9994224147393882,-0.9994580579796879,-0.99937471962884405,-17157.512920508798,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,0,relative_l2,strict,bp_target,0,10,0,0.99947126110173001,0.99948980093238293,6.1674183264321503e-05,0.9993743987456627,0.99957407647390328,0.99947126110173001,0.99948980093238293,0.99942714204881067,0.99951538015464936,16205.666750676273,1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,0,sign_agreement,strict,bp_target,1,10,0,0.84576923076923083,0.84743589743589742,0.029078990665974011,0.78717948717948716,0.8897435897435898,-0.15423076923076923,-0.15256410256410258,-0.17503262602284422,-0.13342891243869423,-5.3038556599984803,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,1,cosine,strict,bp_target,1,10,0,0.89039397892111705,0.89042642899338564,0.022614831814050163,0.86033444453455077,0.92191081776905448,-0.10960602107888291,-0.1095735710066143,-0.12578369719482851,-0.09342834496293731,-4.8466432109739044,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,1,norm_ratio,strict,bp_target,1,10,0,0.0036618010515521125,0.0036012925972796301,0.00029732200530525812,0.0033023696948155804,0.0042414722013107793,-0.996338198948448,-0.99639870740272041,-0.9965508902982454,-0.99612550759865059,-3351.0408956293759,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,1,relative_l2,strict,bp_target,0,10,0,0.99673317575063403,0.99677972803803216,0.00025794264369712836,0.99627644738545729,0.99711744972630512,0.99673317575063403,0.99677972803803216,0.99654865469911635,0.9969176968021517,3864.1659303181382,1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,1,sign_agreement,strict,bp_target,1,10,0,0.86169701986754976,0.86117549668874172,0.017112130584977368,0.83402317880794707,0.89569536423841067,-0.13830298013245032,-0.13882450331125823,-0.15054426092258816,-0.12606169934231248,-8.0821601638469058,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,3,cosine,strict,bp_target,1,10,0,0.84302137746670436,0.83997296984777459,0.012465273230183987,0.82752834916786411,0.86488658678301,-0.15697862253329559,-0.16002703015222541,-0.16589574182353928,-0.1480615032430519,-12.593275705596273,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,3,norm_ratio,strict,bp_target,1,10,0,0.067175448209261648,0.067755545293792463,0.0018910425933770737,0.063381466595940988,0.069530501091768421,-0.93282455179073831,-0.93224445470620754,-0.93417732216942873,-0.93147178141204789,-493.28584932869018,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,3,relative_l2,strict,bp_target,0,10,0,0.94403905192787574,0.94353820935348787,0.0017255837333250267,0.94172918269923278,0.94760095797576971,0.94403905192787574,0.94353820935348787,0.94280464368738048,0.94527346016837099,547.08388454080239,1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,3,sign_agreement,strict,bp_target,1,10,0,0.82212385702410651,0.82075852036575225,0.0053409326864311216,0.81601828761429762,0.83086450540315882,-0.17787614297589358,-0.17924147963424775,-0.18169681605755095,-0.1740554698942362,-33.3043221884814,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,4,cosine,strict,bp_target,1,10,0,0.92656506670884653,0.92455141237415805,0.0064334208715590441,0.91966685133304227,0.93758491097723373,-0.073434933291153359,-0.075448587625841945,-0.078037125340752647,-0.068832741241554071,-11.414601151899687,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,4,norm_ratio,strict,bp_target,1,10,0,0.31174721023214158,0.31240304486410952,0.010446867296298703,0.29289419434106029,0.32788789745725822,-0.68825278976785831,-0.68759695513589048,-0.69572602843420928,-0.68077955110150734,-65.881260883988162,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,4,relative_l2,strict,bp_target,0,10,0,0.72031729006052525,0.71990346616835899,0.010631148290202938,0.70239995295445756,0.73879427050154622,0.72031729006052525,0.71990346616835899,0.71271222471254247,0.72792235540850803,67.755360982437679,1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,4,sign_agreement,strict,bp_target,1,10,0,0.86793388429752061,0.86964777646595826,0.0075174193511919948,0.85728059818968916,0.87918142463596993,-0.13206611570247934,-0.13035222353404174,-0.13744375355056493,-0.12668847785439374,-17.568012310173749,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,5,cosine,strict,bp_target,1,10,0,0.99999868420846438,0.99999873026361175,1.5287736033616695e-07,0.99999842030904806,0.99999883815269874,-1.3157915356831751e-06,-1.2697363881986057e-06,-1.42515341116892e-06,-1.2064296601974303e-06,-8.6068436345959842,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,5,norm_ratio,strict,bp_target,1,10,0,0.99844867762608269,0.99844838117646562,5.8643926761278614e-05,0.99836506871440656,0.99853119166194448,-0.0015513223739173521,-0.0015516188235343842,-0.0015932737119203071,-0.0015093710359143971,-26.453248607179876,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,5,relative_l2,strict,bp_target,0,10,0,0.0022403045542294339,0.0022198860251741799,9.2181607585763457e-05,0.0021294827684089799,0.0023893265946321198,0.0022403045542294339,0.0022198860251741799,0.0021743618046378508,0.0023062473038210169,24.303162126404779,1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,5,sign_agreement,strict,bp_target,1,10,0,0.9994823529411766,0.999529411764706,0.00049355710502122961,0.99835294117647067,1,-0.00051764705882346713,-0.00047058823529400051,-0.00087071654240001607,-0.00016457757524691814,-1.0488088481700639,-1,0.0078125,0.0390625
