dataset,model,model_seed,method,layer,metric,value,n_observations,n_missing
FashionMNIST,lenet_classic,2,fixedpred,5,cka,0.99089575016180598,1,0
FashionMNIST,lenet_classic,2,fixedpred,5,rsa_spearman,0.99221965657275024,1,0
FashionMNIST,lenet_classic,2,strict,0,cka,0.95275040748707085,1,0
FashionMNIST,lenet_classic,2,strict,0,rsa_spearman,0.92364431657424262,1,0
FashionMNIST,lenet_classic,2,strict,1,cka,0.96697230257004718,1,0
FashionMNIST,lenet_classic,2,strict,1,rsa_spearman,0.95298135623044922,1,0
FashionMNIST,lenet_classic,2,strict,3,cka,0.95448339062725118,1,0
FashionMNIST,lenet_classic,2,strict,3,rsa_spearman,0.93374174771492879,1,0
FashionMNIST,lenet_classic,2,strict,4,cka,0.97503709209461864,1,0
FashionMNIST,lenet_classic,2,strict,4,rsa_spearman,0.97161656457371459,1,0
FashionMNIST,lenet_classic,2,strict,5,cka,0.9744171997052592,1,0
FashionMNIST,lenet_classic,2,strict,5,rsa_spearman,0.97873895622882923,1,0
FashionMNIST,lenet_classic,3,exact,0,cka,1,1,0
FashionMNIST,lenet_classic,3,exact,0,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,3,exact,1,cka,1,1,0
FashionMNIST,lenet_classic,3,exact,1,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,3,exact,3,cka,1,1,0
FashionMNIST,lenet_classic,3,exact,3,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,3,exact,4,cka,1,1,0
FashionMNIST,lenet_classic,3,exact,4,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,3,exact,5,cka,1,1,0
FashionMNIST,lenet_classic,3,exact,5,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,3,fixedpred,0,cka,0.9977754299057866,1,0
FashionMNIST,lenet_classic,3,fixedpred,0,rsa_spearman,0.9866400634288196,1,0
FashionMNIST,lenet_classic,3,fixedpred,1,cka,0.99219254418317837,1,0
FashionMNIST,lenet_classic,3,fixedpred,1,rsa_spearman,0.98850170728212239,1,0
FashionMNIST,lenet_classic,3,fixedpred,3,cka,0.98949334277054701,1,0
FashionMNIST,lenet_classic,3,fixedpred,3,rsa_spearman,0.98221451664645965,1,0
FashionMNIST,lenet_classic,3,fixedpred,4,cka,0.99453122365580582,1,0
FashionMNIST,lenet_classic,3,fixedpred,4,rsa_spearman,0.99269615465645855,1,0
FashionMNIST,lenet_classic,3,fixedpred,5,cka,0.99522448306055056,1,0
FashionMNIST,lenet_classic,3,fixedpred,5,rsa_spearman,0.99395439537094521,1,0
FashionMNIST,lenet_classic,3,strict,0,cka,0.98728546070361156,1,0
FashionMNIST,lenet_classic,3,strict,0,rsa_spearman,0.95363428645155801,1,0
FashionMNIST,lenet_classic,3,strict,1,cka,0.97120078526430242,1,0
FashionMNIST,lenet_classic,3,strict,1,rsa_spearman,0.93719445075369257,1,0
FashionMNIST,lenet_classic,3,strict,3,cka,0.971066443837454,1,0
FashionMNIST,lenet_classic,3,strict,3,rsa_spearman,0.95453181334597204,1,0
FashionMNIST,lenet_classic,3,strict,4,cka,0.97918970861694643,1,0
FashionMNIST,lenet_classic,3,strict,4,rsa_spearman,0.97098628370183282,1,0
FashionMNIST,lenet_classic,3,strict,5,cka,0.98006220144729483,1,0
FashionMNIST,lenet_classic,3,strict,5,rsa_spearman,0.97651884676076239,1,0
FashionMNIST,lenet_classic,4,exact,0,cka,1,1,0
FashionMNIST,lenet_classic,4,exact,0,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,4,exact,1,cka,1,1,0
FashionMNIST,lenet_classic,4,exact,1,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,4,exact,3,cka,1,1,0
FashionMNIST,lenet_classic,4,exact,3,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,4,exact,4,cka,1,1,0
FashionMNIST,lenet_classic,4,exact,4,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,4,exact,5,cka,1,1,0
FashionMNIST,lenet_classic,4,exact,5,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,4,fixedpred,0,cka,0.99528912164360361,1,0
FashionMNIST,lenet_classic,4,fixedpred,0,rsa_spearman,0.99577971851080316,1,0
FashionMNIST,lenet_classic,4,fixedpred,1,cka,0.99495778892378217,1,0
FashionMNIST,lenet_classic,4,fixedpred,1,rsa_spearman,0.98000672483322504,1,0
FashionMNIST,lenet_classic,4,fixedpred,3,cka,0.98845057300655115,1,0
FashionMNIST,lenet_classic,4,fixedpred,3,rsa_spearman,0.9791977781496336,1,0
FashionMNIST,lenet_classic,4,fixedpred,4,cka,0.99283548030942181,1,0
FashionMNIST,lenet_classic,4,fixedpred,4,rsa_spearman,0.98946251286811981,1,0
FashionMNIST,lenet_classic,4,fixedpred,5,cka,0.99357208843453881,1,0
FashionMNIST,lenet_classic,4,fixedpred,5,rsa_spearman,0.99235044561022556,1,0
FashionMNIST,lenet_classic,4,strict,0,cka,0.98884070038979277,1,0
FashionMNIST,lenet_classic,4,strict,0,rsa_spearman,0.98426511806025518,1,0
FashionMNIST,lenet_classic,4,strict,1,cka,0.9838747207091102,1,0
FashionMNIST,lenet_classic,4,strict,1,rsa_spearman,0.91909632991400037,1,0
FashionMNIST,lenet_classic,4,strict,3,cka,0.97048722985375357,1,0
FashionMNIST,lenet_classic,4,strict,3,rsa_spearman,0.95223888965105563,1,0
FashionMNIST,lenet_classic,4,strict,4,cka,0.97548950531954959,1,0
FashionMNIST,lenet_classic,4,strict,4,rsa_spearman,0.96719309147552479,1,0
FashionMNIST,lenet_classic,4,strict,5,cka,0.97669102199346036,1,0
FashionMNIST,lenet_classic,4,strict,5,rsa_spearman,0.97277413268119917,1,0
FashionMNIST,lenet_classic,5,exact,0,cka,1,1,0
FashionMNIST,lenet_classic,5,exact,0,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,5,exact,1,cka,1,1,0
FashionMNIST,lenet_classic,5,exact,1,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,5,exact,3,cka,1,1,0
FashionMNIST,lenet_classic,5,exact,3,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,5,exact,4,cka,1,1,0
FashionMNIST,lenet_classic,5,exact,4,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,5,exact,5,cka,1,1,0
FashionMNIST,lenet_classic,5,exact,5,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,5,fixedpred,0,cka,0.99049741287242721,1,0
FashionMNIST,lenet_classic,5,fixedpred,0,rsa_spearman,0.9900126996663392,1,0
FashionMNIST,lenet_classic,5,fixedpred,1,cka,0.9953755629189992,1,0
FashionMNIST,lenet_classic,5,fixedpred,1,rsa_spearman,0.99454759706706442,1,0
FashionMNIST,lenet_classic,5,fixedpred,3,cka,0.99049269396744521,1,0
FashionMNIST,lenet_classic,5,fixedpred,3,rsa_spearman,0.98670475831204119,1,0
FashionMNIST,lenet_classic,5,fixedpred,4,cka,0.9923595354964786,1,0
FashionMNIST,lenet_classic,5,fixedpred,4,rsa_spearman,0.98968465121217397,1,0
FashionMNIST,lenet_classic,5,fixedpred,5,cka,0.99439521819443277,1,0
FashionMNIST,lenet_classic,5,fixedpred,5,rsa_spearman,0.99457101804052761,1,0
FashionMNIST,lenet_classic,5,strict,0,cka,0.98626680720460158,1,0
FashionMNIST,lenet_classic,5,strict,0,rsa_spearman,0.96107468758298875,1,0
FashionMNIST,lenet_classic,5,strict,1,cka,0.97999775940674683,1,0
FashionMNIST,lenet_classic,5,strict,1,rsa_spearman,0.96920004826023298,1,0
FashionMNIST,lenet_classic,5,strict,3,cka,0.95674000244668855,1,0
FashionMNIST,lenet_classic,5,strict,3,rsa_spearman,0.94177164735775742,1,0
FashionMNIST,lenet_classic,5,strict,4,cka,0.97399822651268142,1,0
FashionMNIST,lenet_classic,5,strict,4,rsa_spearman,0.96501509560255061,1,0
FashionMNIST,lenet_classic,5,strict,5,cka,0.9664664959445658,1,0
FashionMNIST,lenet_classic,5,strict,5,rsa_spearman,0.96273968367867435,1,0
FashionMNIST,lenet_classic,6,exact,0,cka,1,1,0
FashionMNIST,lenet_classic,6,exact,0,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,6,exact,1,cka,1,1,0
FashionMNIST,lenet_classic,6,exact,1,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,6,exact,3,cka,1.0000000000000004,1,0
FashionMNIST,lenet_classic,6,exact,3,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,6,exact,4,cka,1,1,0
FashionMNIST,lenet_classic,6,exact,4,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,6,exact,5,cka,1,1,0
FashionMNIST,lenet_classic,6,exact,5,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,6,fixedpred,0,cka,0.99885092952461441,1,0
FashionMNIST,lenet_classic,6,fixedpred,0,rsa_spearman,0.98842274716593581,1,0
FashionMNIST,lenet_classic,6,fixedpred,1,cka,0.99559297451714523,1,0
FashionMNIST,lenet_classic,6,fixedpred,1,rsa_spearman,0.99316006278763136,1,0
FashionMNIST,lenet_classic,6,fixedpred,3,cka,0.98844215798083723,1,0
FashionMNIST,lenet_classic,6,fixedpred,3,rsa_spearman,0.98339670618529362,1,0
FashionMNIST,lenet_classic,6,fixedpred,4,cka,0.99359982748073561,1,0
FashionMNIST,lenet_classic,6,fixedpred,4,rsa_spearman,0.99200068905361716,1,0
FashionMNIST,lenet_classic,6,fixedpred,5,cka,0.99471515411277278,1,0
FashionMNIST,lenet_classic,6,fixedpred,5,rsa_spearman,0.99458115432084482,1,0
FashionMNIST,lenet_classic,6,strict,0,cka,0.98196182264109322,1,0
FashionMNIST,lenet_classic,6,strict,0,rsa_spearman,0.97900356693202595,1,0
FashionMNIST,lenet_classic,6,strict,1,cka,0.97399026699111724,1,0
FashionMNIST,lenet_classic,6,strict,1,rsa_spearman,0.94708993491768156,1,0
FashionMNIST,lenet_classic,6,strict,3,cka,0.95909320916627716,1,0
FashionMNIST,lenet_classic,6,strict,3,rsa_spearman,0.93968305127401019,1,0
FashionMNIST,lenet_classic,6,strict,4,cka,0.97639625571294919,1,0
FashionMNIST,lenet_classic,6,strict,4,rsa_spearman,0.97188108805196438,1,0
FashionMNIST,lenet_classic,6,strict,5,cka,0.97991877142121797,1,0
FashionMNIST,lenet_classic,6,strict,5,rsa_spearman,0.98222549195162556,1,0
FashionMNIST,lenet_classic,7,exact,0,cka,1,1,0
FashionMNIST,lenet_classic,7,exact,0,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,7,exact,1,cka,1,1,0
FashionMNIST,lenet_classic,7,exact,1,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,7,exact,3,cka,1,1,0
FashionMNIST,lenet_classic,7,exact,3,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,7,exact,4,cka,1,1,0
FashionMNIST,lenet_classic,7,exact,4,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,7,exact,5,cka,1,1,0
FashionMNIST,lenet_classic,7,exact,5,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,7,fixedpred,0,cka,0.9937540696581908,1,0
FashionMNIST,lenet_classic,7,fixedpred,0,rsa_spearman,0.98425814958392799,1,0
FashionMNIST,lenet_classic,7,fixedpred,1,cka,0.98557861406596836,1,0
FashionMNIST,lenet_classic,7,fixedpred,1,rsa_spearman,0.97604780490060516,1,0
FashionMNIST,lenet_classic,7,fixedpred,3,cka,0.98645053564626539,1,0
FashionMNIST,lenet_classic,7,fixedpred,3,rsa_spearman,0.98279487550245237,1,0
FashionMNIST,lenet_classic,7,fixedpred,4,cka,0.99145806667825642,1,0
FashionMNIST,lenet_classic,7,fixedpred,4,rsa_spearman,0.98983406356305381,1,0
FashionMNIST,lenet_classic,7,fixedpred,5,cka,0.99247298900114922,1,0
FashionMNIST,lenet_classic,7,fixedpred,5,rsa_spearman,0.99230467598852201,1,0
FashionMNIST,lenet_classic,7,strict,0,cka,0.96753031779122478,1,0
FashionMNIST,lenet_classic,7,strict,0,rsa_spearman,0.9027648897244156,1,0
FashionMNIST,lenet_classic,7,strict,1,cka,0.97463828386688478,1,0
FashionMNIST,lenet_classic,7,strict,1,rsa_spearman,0.93391954623123763,1,0
FashionMNIST,lenet_classic,7,strict,3,cka,0.95728194308983883,1,0
FashionMNIST,lenet_classic,7,strict,3,rsa_spearman,0.939923329833806,1,0
FashionMNIST,lenet_classic,7,strict,4,cka,0.97334087436596817,1,0
FashionMNIST,lenet_classic,7,strict,4,rsa_spearman,0.96492282617147884,1,0
FashionMNIST,lenet_classic,7,strict,5,cka,0.97313047140767039,1,0
FashionMNIST,lenet_classic,7,strict,5,rsa_spearman,0.97146982649718339,1,0
FashionMNIST,lenet_classic,8,exact,0,cka,1,1,0
FashionMNIST,lenet_classic,8,exact,0,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,8,exact,1,cka,1,1,0
FashionMNIST,lenet_classic,8,exact,1,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,8,exact,3,cka,1,1,0
FashionMNIST,lenet_classic,8,exact,3,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,8,exact,4,cka,1,1,0
FashionMNIST,lenet_classic,8,exact,4,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,8,exact,5,cka,1,1,0
FashionMNIST,lenet_classic,8,exact,5,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,8,fixedpred,0,cka,0.9731313707134992,1,0
FashionMNIST,lenet_classic,8,fixedpred,0,rsa_spearman,0.96591925455924399,1,0
FashionMNIST,lenet_classic,8,fixedpred,1,cka,0.98823108359880962,1,0
FashionMNIST,lenet_classic,8,fixedpred,1,rsa_spearman,0.97449212079112757,1,0
FashionMNIST,lenet_classic,8,fixedpred,3,cka,0.98704548232956957,1,0
FashionMNIST,lenet_classic,8,fixedpred,3,rsa_spearman,0.98249588002763444,1,0
FashionMNIST,lenet_classic,8,fixedpred,4,cka,0.99008666286321245,1,0
FashionMNIST,lenet_classic,8,fixedpred,4,rsa_spearman,0.98744414857816742,1,0
FashionMNIST,lenet_classic,8,fixedpred,5,cka,0.99298838100753539,1,0
FashionMNIST,lenet_classic,8,fixedpred,5,rsa_spearman,0.99197193374529802,1,0
FashionMNIST,lenet_classic,8,strict,0,cka,0.95751276527556717,1,0
FashionMNIST,lenet_classic,8,strict,0,rsa_spearman,0.94774518090318283,1,0
FashionMNIST,lenet_classic,8,strict,1,cka,0.97137271694419836,1,0
FashionMNIST,lenet_classic,8,strict,1,rsa_spearman,0.91721800177967661,1,0
FashionMNIST,lenet_classic,8,strict,3,cka,0.95261503918735879,1,0
FashionMNIST,lenet_classic,8,strict,3,rsa_spearman,0.93156970924494598,1,0
FashionMNIST,lenet_classic,8,strict,4,cka,0.96641724163746845,1,0
FashionMNIST,lenet_classic,8,strict,4,rsa_spearman,0.96025542473768721,1,0
FashionMNIST,lenet_classic,8,strict,5,cka,0.96888603630034165,1,0
FashionMNIST,lenet_classic,8,strict,5,rsa_spearman,0.96461930850195565,1,0
FashionMNIST,lenet_classic,9,exact,0,cka,1,1,0
FashionMNIST,lenet_classic,9,exact,0,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,9,exact,1,cka,1,1,0
FashionMNIST,lenet_classic,9,exact,1,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,9,exact,3,cka,1,1,0
FashionMNIST,lenet_classic,9,exact,3,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,9,exact,4,cka,1,1,0
FashionMNIST,lenet_classic,9,exact,4,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,9,exact,5,cka,1,1,0
FashionMNIST,lenet_classic,9,exact,5,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,9,fixedpred,0,cka,0.99872253299231284,1,0
FashionMNIST,lenet_classic,9,fixedpred,0,rsa_spearman,0.99568911421224404,1,0
FashionMNIST,lenet_classic,9,fixedpred,1,cka,0.99745412565608838,1,0
FashionMNIST,lenet_classic,9,fixedpred,1,rsa_spearman,0.99663815616546203,1,0
FashionMNIST,lenet_classic,9,fixedpred,3,cka,0.99368920400319405,1,0
FashionMNIST,lenet_classic,9,fixedpred,3,rsa_spearman,0.99146627674332399,1,0
FashionMNIST,lenet_classic,9,fixedpred,4,cka,0.99439620113761795,1,0
FashionMNIST,lenet_classic,9,fixedpred,4,rsa_spearman,0.99282212160734085,1,0
FashionMNIST,lenet_classic,9,fixedpred,5,cka,0.99551817971672285,1,0
FashionMNIST,lenet_classic,9,fixedpred,5,rsa_spearman,0.99540288299031221,1,0
FashionMNIST,lenet_classic,9,strict,0,cka,0.99242361220592401,1,0
FashionMNIST,lenet_classic,9,strict,0,rsa_spearman,0.98895149803432481,1,0
FashionMNIST,lenet_classic,9,strict,1,cka,0.9902941410506616,1,0
FashionMNIST,lenet_classic,9,strict,1,rsa_spearman,0.96627893621445882,1,0
FashionMNIST,lenet_classic,9,strict,3,cka,0.97248161522724863,1,0
FashionMNIST,lenet_classic,9,strict,3,rsa_spearman,0.9482376031974632,1,0
FashionMNIST,lenet_classic,9,strict,4,cka,0.96799490747224637,1,0
FashionMNIST,lenet_classic,9,strict,4,rsa_spearman,0.96090444406089881,1,0
FashionMNIST,lenet_classic,9,strict,5,cka,0.97008033088091838,1,0
FashionMNIST,lenet_classic,9,strict,5,rsa_spearman,0.96844015965435559,1,0
