domain,dataset,model,checkpoint_label,model_seed,method,metric,n_layers,n_valid_layers,n_missing_layers,depth_min,depth_max,value_min,value_max,spearman_rho,linear_slope
gradient,FashionMNIST,lenet_classic,final,3,exact,sign_agreement,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,3,fixedpred,cosine,5,5,0,0,1,0.99540321804112897,0.99999999999999956,0.99999999999999989,0.0037172412020503474
gradient,FashionMNIST,lenet_classic,final,3,fixedpred,norm_ratio,5,5,0,0,1,0.00088815049804570004,1,0.99999999999999989,1.0409941477491917
gradient,FashionMNIST,lenet_classic,final,3,fixedpred,relative_l2,5,5,0,0,1,0,0.99911593320149683,-0.99999999999999989,-1.0409977203374583
gradient,FashionMNIST,lenet_classic,final,3,fixedpred,sign_agreement,5,5,0,0,1,0.96538461538461562,1,0.99999999999999989,0.02928496949568573
gradient,FashionMNIST,lenet_classic,final,3,strict,cosine,5,5,0,0,1,0.84170374201649778,0.99999870431314575,0.29999999999999999,0.062860657091883931
gradient,FashionMNIST,lenet_classic,final,3,strict,norm_ratio,5,5,0,0,1,0.00065764783797340001,0.99844502001267565,0.99999999999999989,0.92402674566233611
gradient,FashionMNIST,lenet_classic,final,3,strict,relative_l2,5,5,0,0,1,0.0022534148507963999,0.99937439874566281,-0.99999999999999989,-0.91235235308882623
gradient,FashionMNIST,lenet_classic,final,3,strict,sign_agreement,5,5,0,0,1,0.82255610972568571,0.99929411764705878,0.29999999999999999,0.09201984482682142
gradient,FashionMNIST,lenet_classic,final,4,exact,cosine,5,5,0,0,1,0.99999999999998923,1,-0.22360679774997894,-1.1102230246251565e-15
gradient,FashionMNIST,lenet_classic,final,4,exact,norm_ratio,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,4,exact,relative_l2,5,5,0,0,1,0,0,,0
gradient,FashionMNIST,lenet_classic,final,4,exact,sign_agreement,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,4,fixedpred,cosine,5,5,0,0,1,0.99665622619165362,1,0.99999999999999989,0.0026930383686697645
gradient,FashionMNIST,lenet_classic,final,4,fixedpred,norm_ratio,5,5,0,0,1,0.00087872328750500004,1,0.99999999999999989,1.0409971061178465
gradient,FashionMNIST,lenet_classic,final,4,fixedpred,relative_l2,5,5,0,0,1,0,0.99912421512549443,-0.99999999999999989,-1.0409995834887422
gradient,FashionMNIST,lenet_classic,final,4,fixedpred,sign_agreement,5,5,0,0,1,0.96410256410256423,1,0.99999999999999989,0.029812292864670863
gradient,FashionMNIST,lenet_classic,final,4,strict,cosine,5,5,0,0,1,0.83616618788823893,0.99999880656199136,0.69999999999999996,0.11417877550771979
gradient,FashionMNIST,lenet_classic,final,4,strict,norm_ratio,5,5,0,0,1,0.0005689666828311,0.99853119166194437,0.99999999999999989,0.91886977124697466
gradient,FashionMNIST,lenet_classic,final,4,strict,relative_l2,5,5,0,0,1,0.0021294827684089001,0.99951184152628736,-0.99999999999999989,-0.90487915441325006
gradient,FashionMNIST,lenet_classic,final,4,strict,sign_agreement,5,5,0,0,1,0.82307692307692304,0.999764705882353,0.69999999999999996,0.12764508330380067
gradient,FashionMNIST,lenet_classic,final,5,exact,cosine,5,5,0,0,1,0.99999999999998923,1,-0.22360679774997894,-4.8849813083506892e-16
gradient,FashionMNIST,lenet_classic,final,5,exact,norm_ratio,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,5,exact,relative_l2,5,5,0,0,1,0,0,,0
gradient,FashionMNIST,lenet_classic,final,5,exact,sign_agreement,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,5,fixedpred,cosine,5,5,0,0,1,0.99749801534176441,1,0.99999999999999989,0.0020282068331901825
gradient,FashionMNIST,lenet_classic,final,5,fixedpred,norm_ratio,5,5,0,0,1,0.00086055764707919998,1,0.99999999999999989,1.041018645300511
gradient,FashionMNIST,lenet_classic,final,5,fixedpred,relative_l2,5,5,0,0,1,0,0.99914159695662597,-0.99999999999999989,-1.0410205653509534
gradient,FashionMNIST,lenet_classic,final,5,fixedpred,sign_agreement,5,5,0,0,1,0.94230769230769218,1,0.99999999999999989,0.047390140463590268
gradient,FashionMNIST,lenet_classic,final,5,strict,cosine,5,5,0,0,1,0.84108963216567822,0.99999873672380724,0.29999999999999999,0.070632060641111272
gradient,FashionMNIST,lenet_classic,final,5,strict,norm_ratio,5,5,0,0,1,0.00052347738466190005,0.99837978054186416,0.99999999999999989,0.91675581678240836
gradient,FashionMNIST,lenet_classic,final,5,strict,relative_l2,5,5,0,0,1,0.0022684990291063998,0.99951002366828345,-0.99999999999999989,-0.90464870273762954
